Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,Unnamed: 21_level_0
Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
Léo Jardim,br BRA,GK,28.0,38.0,5,0.13,3,2,0,0,0,0,1,0.03,1,0,0,0,0,0,Matches
Pablo Vegetti,ar ARG,FW,35.0,33.2,47,1.42,25,0,0,15,7,0,5,0.15,3,0,0,2,0,0,Matches
Lucas Piton,br BRA,DF,23.0,30.0,77,2.56,55,15,6,0,0,1,7,0.23,5,1,1,0,0,0,Matches
Léo Pelé,br BRA,DF,27.0,30.0,22,0.73,22,0,0,0,0,0,1,0.03,1,0,0,0,0,0,Matches
Paulo Henrique,br BRA,DF,27.0,28.0,60,2.15,46,0,8,1,3,2,2,0.07,1,0,0,0,1,0,Matches
Hugo Moura,br BRA,MF,26.0,23.5,57,2.43,43,1,0,6,2,5,6,0.26,3,0,0,1,0,2,Matches
Maicon,br BRA,DF,35.0,26.1,18,0.69,15,1,0,2,0,0,0,0.0,0,0,0,0,0,0,Matches
Mateus Cocão,br BRA,MF,21.0,24.0,45,1.88,40,0,2,2,0,1,6,0.25,6,0,0,0,0,0,Matches
João Victor,br BRA,DF,25.0,19.7,23,1.17,18,2,1,1,0,1,2,0.1,1,0,0,1,0,0,Matches
David,br BRA,FW,28.0,17.6,44,2.49,34,1,6,2,1,0,5,0.28,4,0,1,0,0,0,Matches
Dimitri Payet,fr FRA,"MF,FW",36.0,13.6,61,4.5,45,12,1,1,1,1,9,0.66,7,2,0,0,0,0,Matches
Adson,br BRA,FW,23.0,13.6,53,3.9,46,2,5,0,0,0,5,0.37,4,0,1,0,0,0,Matches
Pablo Galdames Millán,cl CHI,MF,27.0,12.8,28,2.18,21,3,0,3,0,1,1,0.08,1,0,0,0,0,0,Matches
Juan Sforza,ar ARG,MF,21.0,13.9,19,1.37,17,0,0,1,1,0,2,0.14,2,0,0,0,0,0,Matches
José Luis Rodríguez Bebanz,uy URU,"DF,FW",26.0,12.5,27,2.16,20,0,2,4,1,0,6,0.48,4,0,1,1,0,0,Matches
Emerson Rodríguez,co COL,FW,23.0,8.8,31,3.51,23,0,4,2,2,0,1,0.11,1,0,0,0,0,0,Matches
