Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Unnamed: 26_level_0
Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
Léo Jardim,br BRA,GK,28.0,38,3420.0,90.0,100.0,38.0,38,90.0,38,0,,0,1.32,43.0,56.0,-13.0,-0.34,,36.8,52.7,-15.9,-0.42,,Matches
Pablo Vegetti,ar ARG,FW,35.0,35,2986.0,85.0,87.3,33.2,34,87.0,28,1,45.0,0,1.31,37.0,48.0,-11.0,-0.33,0.08,31.9,46.4,-14.5,-0.44,-0.14,Matches
Lucas Piton,br BRA,DF,23.0,32,2703.0,84.0,79.0,30.0,31,86.0,23,1,45.0,2,1.22,30.0,47.0,-17.0,-0.57,-1.07,29.1,43.9,-14.8,-0.49,-0.35,Matches
Léo Pelé,br BRA,DF,27.0,30,2700.0,90.0,78.9,30.0,30,90.0,30,0,,7,1.2,30.0,45.0,-15.0,-0.5,-0.75,28.5,42.5,-14.0,-0.47,-0.23,Matches
Paulo Henrique,br BRA,DF,27.0,35,2516.0,72.0,73.6,28.0,30,80.0,16,5,21.0,1,1.29,27.0,41.0,-14.0,-0.5,-0.6,25.6,38.3,-12.8,-0.46,-0.14,Matches
Hugo Moura,br BRA,MF,26.0,30,2114.0,70.0,61.8,23.5,27,76.0,7,3,23.0,3,1.23,26.0,30.0,-4.0,-0.17,0.45,23.6,29.8,-6.2,-0.26,0.41,Matches
Maicon,br BRA,DF,35.0,30,2351.0,78.0,68.7,26.1,25,86.0,22,5,39.0,7,1.1,27.0,41.0,-14.0,-0.54,-0.62,23.4,38.9,-15.5,-0.59,-0.56,Matches
Mateus Cocão,br BRA,MF,21.0,32,2156.0,67.0,63.0,24.0,25,82.0,13,7,16.0,1,1.47,31.0,30.0,1.0,0.04,1.04,25.8,30.2,-4.5,-0.19,0.63,Matches
João Victor,br BRA,DF,25.0,23,1776.0,77.0,51.9,19.7,20,83.0,16,3,42.0,5,1.52,28.0,29.0,-1.0,-0.05,0.61,20.6,26.6,-6.0,-0.3,0.24,Matches
David,br BRA,FW,28.0,23,1588.0,69.0,46.4,17.6,20,77.0,8,3,17.0,0,1.26,20.0,22.0,-2.0,-0.11,0.43,18.9,23.4,-4.5,-0.26,0.3,Matches
Dimitri Payet,fr FRA,"MF,FW",36.0,23,1220.0,53.0,35.7,13.6,16,62.0,0,7,33.0,1,1.43,18.0,23.0,-5.0,-0.37,-0.04,13.7,18.1,-4.4,-0.32,0.15,Matches
Adson,br BRA,FW,23.0,20,1224.0,61.0,35.8,13.6,14,77.0,4,6,25.0,1,1.55,18.0,15.0,3.0,0.22,0.88,14.4,14.9,-0.4,-0.03,0.6,Matches
Pablo Galdames Millán,cl CHI,MF,27.0,18,1154.0,64.0,33.7,12.8,13,78.0,4,5,29.0,8,0.78,10.0,26.0,-16.0,-1.25,-1.37,8.9,21.0,-12.2,-0.95,-0.8,Matches
Juan Sforza,ar ARG,MF,21.0,26,1250.0,48.0,36.5,13.9,12,82.0,7,14,19.0,10,1.35,18.0,25.0,-7.0,-0.5,-0.26,13.0,22.2,-9.2,-0.66,-0.39,Matches
José Luis Rodríguez Bebanz,uy URU,"DF,FW",26.0,22,1123.0,51.0,32.8,12.5,12,79.0,6,10,18.0,13,1.09,17.0,23.0,-6.0,-0.48,-0.21,11.9,19.4,-7.5,-0.6,-0.27,Matches
Emerson Rodríguez,co COL,FW,23.0,15,795.0,53.0,23.2,8.8,9,65.0,2,6,36.0,2,1.2,8.0,10.0,-2.0,-0.23,0.15,8.8,9.6,-0.7,-0.08,0.44,Matches
Rossi,br BRA,"FW,MF",30.0,11,507.0,46.0,14.8,5.6,9,49.0,0,2,31.0,10,1.17,6.0,9.0,-3.0,-0.53,-0.22,2.4,7.8,-5.5,-0.97,-0.64,Matches
Rayan Vitor,br BRA,"FW,MF",17.0,24,855.0,36.0,25.0,9.5,7,52.0,0,17,29.0,12,1.08,12.0,21.0,-9.0,-0.95,-0.81,11.7,13.5,-1.8,-0.19,0.31,Matches
Philippe Coutinho,br BRA,MF,31.0,15,667.0,44.0,19.5,7.4,7,65.0,0,8,26.0,0,0.93,8.0,10.0,-2.0,-0.27,0.09,8.8,10.1,-1.3,-0.17,0.31,Matches
Leandrinho,br BRA,"DF,FW",18.0,18,541.0,30.0,15.8,6.0,5,58.0,1,13,19.0,8,1.72,12.0,10.0,2.0,0.33,0.8,5.9,9.8,-3.8,-0.64,-0.26,Matches
Victor Luis,br BRA,DF,30.0,10,442.0,44.0,12.9,4.9,5,76.0,1,5,13.0,19,1.5,4.0,3.0,1.0,0.2,0.63,3.7,4.4,-0.7,-0.15,0.31,Matches
João Pedro,br BRA,MF,18.0,10,432.0,43.0,12.6,4.8,4,65.0,0,6,29.0,10,2.1,5.0,2.0,3.0,0.62,1.11,2.9,3.4,-0.5,-0.11,0.35,Matches
Zé Gabriel,br BRA,MF,25.0,14,457.0,33.0,13.4,5.1,3,87.0,1,11,18.0,3,1.07,3.0,9.0,-6.0,-1.18,-0.97,4.1,7.3,-3.2,-0.64,-0.25,Matches
Bruno Praxedes,br BRA,MF,21.0,6,262.0,44.0,7.7,2.9,3,61.0,0,3,27.0,3,2.0,4.0,5.0,-1.0,-0.34,0.0,3.1,5.7,-2.6,-0.9,-0.52,Matches
Guilherme Estrella,br BRA,MF,18.0,3,146.0,49.0,4.3,1.6,3,49.0,0,0,,2,1.33,3.0,2.0,1.0,0.62,1.0,2.4,1.3,1.0,0.62,1.08,Matches
Jean Meneses,cl CHI,"FW,MF",30.0,6,291.0,49.0,8.5,3.2,2,53.0,0,4,46.0,8,1.33,3.0,3.0,0.0,0.0,0.37,2.4,5.2,-2.9,-0.88,-0.51,Matches
Jair,br BRA,MF,29.0,7,271.0,39.0,7.9,3.0,2,76.0,0,5,24.0,1,1.86,6.0,3.0,3.0,1.0,1.45,3.0,4.5,-1.5,-0.49,-0.08,Matches
Maxime Dominguez,ch SUI,"FW,MF",27.0,8,239.0,30.0,7.0,2.7,2,57.0,0,6,21.0,6,1.75,3.0,2.0,1.0,0.38,0.77,2.3,3.9,-1.6,-0.6,-0.2,Matches
Alex Teixeira,br BRA,"FW,MF",34.0,7,238.0,34.0,7.0,2.6,2,70.0,0,5,20.0,8,1.43,6.0,4.0,2.0,0.76,1.18,4.0,5.5,-1.5,-0.55,-0.15,Matches
Robert Rojas,py PAR,DF,27.0,6,179.0,30.0,5.2,2.0,2,41.0,0,4,25.0,24,1.5,1.0,2.0,-1.0,-0.5,-0.17,1.5,1.7,-0.1,-0.07,0.37,Matches
Gary Medel,cl CHI,DF,36.0,2,108.0,54.0,3.2,1.2,2,54.0,0,0,,3,1.5,2.0,1.0,1.0,0.83,1.21,2.0,0.7,1.4,1.14,1.61,Matches
