Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Léo Jardim,br BRA,GK,28.0,38,38,3420.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Pablo Vegetti,ar ARG,FW,35.0,35,34,2986.0,33.2,12.0,2.0,14.0,12.0,0.0,2.0,7.0,0.0,12.4,10.9,2.8,13.7,10.0,37.0,131.0,0.36,0.06,0.42,0.36,0.42,0.37,0.09,0.46,0.33,0.41,Matches
Lucas Piton,br BRA,DF,23.0,32,31,2703.0,30.0,1.0,5.0,6.0,1.0,0.0,0.0,5.0,0.0,0.6,0.6,3.6,4.2,63.0,104.0,143.0,0.03,0.17,0.2,0.03,0.2,0.02,0.12,0.14,0.02,0.14,Matches
Léo Pelé,br BRA,DF,27.0,30,30,2700.0,30.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,1.5,1.5,0.7,2.1,26.0,78.0,5.0,0.0,0.03,0.03,0.0,0.03,0.05,0.02,0.07,0.05,0.07,Matches
Paulo Henrique,br BRA,DF,27.0,35,30,2516.0,28.0,1.0,0.0,1.0,1.0,0.0,0.0,6.0,0.0,1.9,1.9,1.7,3.7,56.0,86.0,113.0,0.04,0.0,0.04,0.04,0.04,0.07,0.06,0.13,0.07,0.13,Matches
Hugo Moura,br BRA,MF,26.0,30,27,2114.0,23.5,1.0,4.0,5.0,1.0,0.0,0.0,8.0,1.0,1.9,1.9,0.9,2.8,22.0,114.0,27.0,0.04,0.17,0.21,0.04,0.21,0.08,0.04,0.12,0.08,0.12,Matches
Maicon,br BRA,DF,35.0,30,25,2351.0,26.1,1.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,0.7,0.7,0.4,1.1,3.0,72.0,2.0,0.04,0.0,0.04,0.04,0.04,0.03,0.02,0.04,0.03,0.04,Matches
Mateus Cocão,br BRA,MF,21.0,32,25,2156.0,24.0,2.0,2.0,4.0,2.0,0.0,0.0,9.0,1.0,0.7,0.7,1.0,1.7,20.0,114.0,38.0,0.08,0.08,0.17,0.08,0.17,0.03,0.04,0.07,0.03,0.07,Matches
João Victor,br BRA,DF,25.0,23,20,1776.0,19.7,1.0,1.0,2.0,1.0,0.0,0.0,6.0,2.0,0.2,0.2,0.8,1.0,41.0,78.0,14.0,0.05,0.05,0.1,0.05,0.1,0.01,0.04,0.05,0.01,0.05,Matches
David,br BRA,FW,28.0,23,20,1588.0,17.6,4.0,3.0,7.0,4.0,0.0,0.0,7.0,1.0,1.8,1.8,1.9,3.8,41.0,48.0,127.0,0.23,0.17,0.4,0.23,0.4,0.1,0.11,0.21,0.1,0.21,Matches
Dimitri Payet,fr FRA,"MF,FW",36.0,23,16,1220.0,13.6,3.0,3.0,6.0,2.0,1.0,1.0,2.0,0.0,1.8,1.0,2.6,3.6,24.0,100.0,79.0,0.22,0.22,0.44,0.15,0.37,0.14,0.19,0.33,0.08,0.27,Matches
Adson,br BRA,FW,23.0,20,14,1224.0,13.6,2.0,1.0,3.0,2.0,0.0,0.0,2.0,0.0,1.5,1.5,2.6,4.1,42.0,72.0,80.0,0.15,0.07,0.22,0.15,0.22,0.11,0.19,0.3,0.11,0.3,Matches
Pablo Galdames Millán,cl CHI,MF,27.0,18,13,1154.0,12.8,0.0,2.0,2.0,0.0,0.0,0.0,5.0,0.0,0.3,0.3,0.7,1.0,8.0,71.0,25.0,0.0,0.16,0.16,0.0,0.16,0.02,0.05,0.08,0.02,0.08,Matches
Juan Sforza,ar ARG,MF,21.0,26,12,1250.0,13.9,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.7,0.7,0.1,0.8,7.0,66.0,10.0,0.07,0.0,0.07,0.07,0.07,0.05,0.01,0.06,0.05,0.06,Matches
José Luis Rodríguez Bebanz,uy URU,"DF,FW",26.0,22,12,1123.0,12.5,1.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,0.7,0.7,2.1,2.8,38.0,51.0,108.0,0.08,0.16,0.24,0.08,0.24,0.06,0.16,0.22,0.06,0.22,Matches
Emerson Rodríguez,co COL,FW,23.0,15,9,795.0,8.8,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,1.4,1.4,0.5,1.9,30.0,12.0,90.0,0.23,0.0,0.23,0.23,0.23,0.16,0.06,0.22,0.16,0.22,Matches
Rossi,br BRA,"FW,MF",30.0,11,9,507.0,5.6,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.8,0.9,7.0,11.0,45.0,0.0,0.18,0.18,0.0,0.18,0.0,0.15,0.15,0.0,0.15,Matches
Rayan Vitor,br BRA,"FW,MF",17.0,24,7,855.0,9.5,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1.9,1.8,1.4,3.2,16.0,15.0,51.0,0.11,0.0,0.11,0.11,0.11,0.2,0.14,0.34,0.19,0.34,Matches
Philippe Coutinho,br BRA,MF,31.0,15,7,667.0,7.4,2.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,2.3,2.3,1.0,3.3,28.0,60.0,29.0,0.27,0.13,0.4,0.27,0.4,0.3,0.14,0.44,0.3,0.44,Matches
Leandrinho,br BRA,"DF,FW",18.0,18,5,541.0,6.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.1,0.1,0.1,0.2,9.0,16.0,38.0,0.17,0.17,0.33,0.17,0.33,0.02,0.02,0.03,0.02,0.03,Matches
Victor Luis,br BRA,DF,30.0,10,5,442.0,4.9,1.0,1.0,2.0,1.0,0.0,0.0,3.0,1.0,0.4,0.4,0.4,0.7,9.0,17.0,22.0,0.2,0.2,0.41,0.2,0.41,0.07,0.07,0.15,0.07,0.15,Matches
João Pedro,br BRA,MF,18.0,10,4,432.0,4.8,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.2,0.5,4.0,20.0,14.0,0.0,0.21,0.21,0.0,0.21,0.05,0.04,0.1,0.05,0.1,Matches
Zé Gabriel,br BRA,MF,25.0,14,3,457.0,5.1,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.8,0.8,0.0,0.9,6.0,11.0,5.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.17,0.17,0.17,Matches
Bruno Praxedes,br BRA,MF,21.0,6,3,262.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,0.4,0.6,6.0,10.0,22.0,0.0,0.0,0.0,0.0,0.0,0.06,0.15,0.21,0.06,0.21,Matches
Guilherme Estrella,br BRA,MF,18.0,3,3,146.0,1.6,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.4,0.4,0.0,0.4,3.0,4.0,7.0,0.62,0.0,0.62,0.62,0.62,0.24,0.02,0.26,0.24,0.26,Matches
