Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes
2014-04-19,18:30,Série A,Matchweek 1,Sat,Away,L,0,1,Internacional,,21983.0,,4-1-2-1-2◆,4-2-3-1,Raphael Claus,Match Report,
2014-04-27,16:00,Série A,Matchweek 2,Sun,Home,D,2,2,Ath Paranaense,,4953.0,,4-3-3,4-3-2-1,Francisco Carlos do Nascimento,Match Report,
2014-05-03,21:00,Série A,Matchweek 3,Sat,Away,W,2,1,Fluminense,,50687.0,,4-3-3,4-2-2-2,Marcos Andre Gomes da Penha,Match Report,
2014-05-11,18:30,Série A,Matchweek 4,Sun,Away,D,1,1,Bahia,,21352.0,,4-3-3,4-3-2-1,Wilton Sampaio,Match Report,
2014-05-18,18:30,Série A,Matchweek 5,Sun,Home,L,0,1,Palmeiras,,8484.0,,4-3-3,4-2-3-1,Leandro Pedro Vuaden,Match Report,
2014-05-22,21:00,Série A,Matchweek 6,Thu,Home,L,2,3,Atlético Mineiro,,4694.0,,4-2-3-1,4-2-3-1,Vinicius Furlan,Match Report,
2014-05-25,18:30,Série A,Matchweek 7,Sun,Away,D,1,1,Botafogo (RJ),,2759.0,,4-2-3-1,4-3-3,Dewson Fernando Freitas da Silva,Match Report,
2014-05-28,21:00,Série A,Matchweek 8,Wed,Away,D,0,0,Goiás,,4267.0,,4-1-2-1-2◆,4-2-3-1,Jean Pierre Goncalves Lima,Match Report,
2014-05-31,21:00,Série A,Matchweek 9,Sat,Home,L,0,1,Sport Recife,,3152.0,,4-4-2,4-2-3-1,Paulo Henrique De Godoy Bezerra,Match Report,
2014-07-17,21:00,Série A,Matchweek 10,Thu,Away,L,1,3,Cruzeiro,,24156.0,,4-3-2-1,4-2-3-1,Péricles Bassols Pegado Cortez,Match Report,
2014-07-20,16:00,Série A,Matchweek 11,Sun,Home,D,0,0,Corinthians,,15259.0,,4-2-3-1,4-1-2-1-2,Heber Roberto Lopes,Match Report,
2014-07-26,18:30,Série A,Matchweek 12,Sat,Away,W,3,1,Criciúma,,7355.0,,4-2-3-1,4-2-3-1,Marcelo de Lima Henrique,Match Report,
2014-08-02,21:00,Série A,Matchweek 13,Sat,Home,W,2,1,Grêmio,,10637.0,,4-2-3-1,4-2-3-1,Sandro Ricci,Match Report,
2014-08-10,18:30,Série A,Matchweek 14,Sun,Away,L,1,3,São Paulo,,29115.0,,4-2-3-1,4-2-2-2,André Luiz de Freitas Castro,Match Report,
2014-08-17,16:00,Série A,Matchweek 15,Sun,Home,D,0,0,Chapecoense,,10897.0,,4-3-2-1,4-2-2-2,Jean Pierre Goncalves Lima,Match Report,
2014-08-20,21:00,Série A,Matchweek 16,Wed,Away,L,0,2,Coritiba,,6192.0,,4-1-2-1-2◆,4-3-2-1,Dewson Fernando Freitas da Silva,Match Report,
2014-08-24,16:00,Série A,Matchweek 17,Sun,Home,L,0,1,Figueirense,,7112.0,,4-2-3-1,4-1-2-1-2,Marcelo de Lima Henrique,Match Report,
2014-08-28,22:00,Sudamericana,Second stage,Thu,Away,W,1,0,br Sport Recife,,,,,,Óscar Maldonado,Match Report,Leg 1 of 2
2014-08-31,18:30,Série A,Matchweek 18,Sun,Home,L,1,2,Flamengo,,14477.0,,4-2-3-1,4-4-1-1,Anderson Daronco,Match Report,
2014-09-03,22:00,Sudamericana,Second stage,Wed,Home,W,2,1,br Sport Recife,,,,,,Leandro Pedro Vuaden,Match Report,Leg 2 of 2; Vitória won
2014-09-06,18:30,Série A,Matchweek 19,Sat,Away,L,1,3,Santos,,14205.0,,4-2-3-1,4-2-3-1,Felipe Gomes da Silva,Match Report,
2014-09-10,22:00,Série A,Matchweek 20,Wed,Home,W,2,0,Internacional,,5060.0,,4-3-2-1,4-2-3-1,Péricles Bassols Pegado Cortez,Match Report,
2014-09-14,18:30,Série A,Matchweek 21,Sun,Away,L,0,2,Ath Paranaense,,15739.0,,4-3-2-1,4-2-3-1,Pablo Dos Santos Alves,Match Report,
2014-09-17,19:30,Série A,Matchweek 22,Wed,Home,W,3,1,Fluminense,,6438.0,,4-3-2-1,4-2-3-1,Thiago Duarte Peixoto,Match Report,
2014-09-21,16:00,Série A,Matchweek 23,Sun,Home,W,2,1,Bahia,,25192.0,,4-3-2-1,4-4-1-1,Ricardo Marques Ribeiro,Match Report,
2014-09-25,19:30,Série A,Matchweek 24,Thu,Away,L,0,2,Palmeiras,,14907.0,,4-1-2-1-2◆,4-2-3-1,Wilton Sampaio,Match Report,
2014-09-28,16:00,Série A,Matchweek 25,Sun,Away,L,0,2,Atlético Mineiro,,20877.0,,4-2-3-1,4-2-3-1,Marcelo Aparecido Ribeiro De Souza,Match Report,
2014-10-01,20:00,Sudamericana,Round of 16,Wed,Away,D,2,2,co Nacional,,,,,,Carlos Vera,Match Report,Leg 1 of 2
2014-10-04,16:20,Série A,Matchweek 26,Sat,Home,W,2,1,Botafogo (RJ),,9505.0,,4-2-3-1,4-2-3-1,Sandro Ricci,Match Report,
2014-10-08,21:00,Série A,Matchweek 27,Wed,Home,D,2,2,Goiás,,8422.0,,4-1-2-1-2◆,4-4-2,Péricles Bassols Pegado Cortez,Match Report,
2014-10-12,18:30,Série A,Matchweek 28,Sun,Away,W,2,1,Sport Recife,,10895.0,,4-1-4-1,4-4-2,Leandro Pedro Vuaden,Match Report,
2014-10-16,19:15,Sudamericana,Round of 16,Thu,Home,L,0,1,co Nacional,,,,,,Julio Bascuñán,Match Report,Leg 2 of 2; Nacional won
2014-10-19,17:30,Série A,Matchweek 29,Sun,Home,L,0,1,Cruzeiro,,18366.0,,4-3-2-1,4-2-3-1,Raphael Claus,Match Report,
