Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 21_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Kieza,br BRA,FW,29.0,35,35,3128.0,34.8,9.0,2.0,11.0,9.0,0.0,1.0,9.0,0.0,0.26,0.06,0.32,0.26,0.32,Matches
Diego Renan,br BRA,"DF,MF",26.0,33,33,2907.0,32.3,4.0,8.0,12.0,1.0,3.0,4.0,8.0,1.0,0.12,0.25,0.37,0.03,0.28,Matches
Willian Farias,br BRA,MF,26.0,33,33,2883.0,32.0,2.0,2.0,4.0,2.0,0.0,0.0,8.0,0.0,0.06,0.06,0.12,0.06,0.12,Matches
Fernando Miguel,br BRA,GK,30.0,31,31,2758.0,30.6,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Ramon Menezes Roma,br BRA,"DF,MF",20.0,29,29,2522.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches
Marinho,br BRA,"FW,MF",25.0,27,27,2259.0,25.1,12.0,6.0,18.0,11.0,1.0,1.0,8.0,0.0,0.48,0.24,0.72,0.44,0.68,Matches
Kanu,br BRA,DF,31.0,26,25,2261.0,25.1,3.0,0.0,3.0,3.0,0.0,0.0,10.0,0.0,0.12,0.0,0.12,0.12,0.12,Matches
Victor Ramos Ferreira,br BRA,DF,26.0,25,25,2242.0,24.9,1.0,2.0,3.0,1.0,0.0,0.0,11.0,1.0,0.04,0.08,0.12,0.04,0.12,Matches
Euller,br BRA,DF,21.0,27,19,1773.0,19.7,1.0,2.0,3.0,1.0,0.0,0.0,4.0,0.0,0.05,0.1,0.15,0.05,0.15,Matches
Marcelo Santos,br BRA,MF,21.0,22,18,1573.0,17.5,3.0,0.0,3.0,3.0,0.0,0.0,8.0,1.0,0.17,0.0,0.17,0.17,0.17,Matches
Amaral,br BRA,MF,27.0,21,18,1403.0,15.6,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Sherman Cárdenas,co COL,MF,26.0,20,17,1437.0,16.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.06,0.06,0.0,0.06,Matches
Diogo Mateus,br BRA,"DF,MF",22.0,15,13,1184.0,13.2,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Dagoberto,br BRA,"FW,MF",32.0,17,13,1016.0,11.3,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Zé Eduardo,br BRA,FW,28.0,13,13,981.0,10.9,4.0,2.0,6.0,4.0,0.0,1.0,4.0,0.0,0.37,0.18,0.55,0.37,0.55,Matches
Tiago Real,br BRA,MF,27.0,24,11,1100.0,12.2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Vander Luiz Silva Souza,br BRA,"FW,MF",25.0,26,10,1178.0,13.1,3.0,1.0,4.0,3.0,0.0,0.0,9.0,1.0,0.23,0.08,0.31,0.23,0.31,Matches
José Welison,br BRA,MF,20.0,13,8,712.0,7.9,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Caíque,br BRA,GK,18.0,8,7,662.0,7.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Flávio,br BRA,MF,19.0,10,7,509.0,5.7,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.35,0.35,0.0,0.35,Matches
Norberto,br BRA,DF,25.0,8,6,535.0,5.9,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches
David,br BRA,"FW,MF",20.0,17,4,599.0,6.7,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.3,0.0,0.3,0.3,0.3,Matches
Serginho,cn CHN,"FW,MF",20.0,16,4,512.0,5.7,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.18,0.0,0.18,0.18,0.18,Matches
Leandro Domingues,br BRA,MF,32.0,9,4,366.0,4.1,1.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.25,0.49,0.74,0.25,0.74,Matches
Rodrigo Ramallo,bo BOL,"FW,MF",25.0,4,2,221.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Maicon Silva,br BRA,DF,27.0,4,2,210.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Nickson,br BRA,MF,18.0,3,2,163.0,1.8,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.55,0.0,0.55,0.55,0.55,Matches
