Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,Unnamed: 21_level_0
Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
Lucas Arcanjo,br BRA,GK,25.0,37.0,4,0,0,0,8,0,0,1,0,0,0,1,31,13,0,100.0,Matches
Wagner,br BRA,DF,24.0,35.1,5,1,0,16,9,2,4,50,20,0,0,1,132,85,70,54.8,Matches
Lucas Esteves,br BRA,DF,23.0,32.6,10,0,0,36,27,11,121,40,44,1,0,0,135,56,36,60.9,Matches
Matheusinho,br BRA,"MF,FW",26.0,27.4,5,0,0,23,81,4,101,24,31,1,0,0,143,14,35,28.6,Matches
Alerrandro,br BRA,FW,24.0,26.5,4,0,0,28,46,5,7,13,15,0,1,0,92,37,93,28.5,Matches
Willian,br BRA,MF,30.0,29.4,8,0,0,44,43,1,3,31,32,2,0,0,123,43,43,50.0,Matches
Luan Silva,br BRA,MF,24.0,17.6,5,0,0,29,14,0,4,27,12,0,0,0,73,18,10,64.3,Matches
Willean Lepo,br BRA,DF,27.0,19.9,5,0,0,18,19,2,55,30,48,0,0,0,106,36,36,50.0,Matches
Raúl Cáceres,py PAR,DF,32.0,18.8,2,0,0,22,4,4,94,14,18,0,0,0,48,19,19,50.0,Matches
Osvaldo,br BRA,"MF,FW",36.0,11.9,1,0,0,14,25,1,45,6,7,0,1,0,53,3,6,33.3,Matches
Neris,br BRA,DF,31.0,15.1,3,1,0,17,1,1,1,11,15,0,0,0,44,35,23,60.3,Matches
Janderson,br BRA,"FW,MF",24.0,15.5,6,0,0,26,19,3,14,6,14,0,0,0,65,42,60,41.2,Matches
Ricardo,br BRA,MF,29.0,11.6,0,0,0,16,14,0,8,12,23,0,0,0,55,13,19,40.6,Matches
Léo Naldi,br BRA,MF,22.0,12.3,6,0,0,21,16,0,8,17,24,0,0,0,53,17,14,54.8,Matches
Gustavo Mosquito,br BRA,"FW,MF",26.0,8.9,3,0,0,7,18,1,22,5,6,0,0,0,32,2,8,20.0,Matches
Machado,br BRA,MF,28.0,9.1,2,0,0,10,7,1,47,13,10,0,0,0,43,5,7,41.7,Matches
Carlos Eduardo,br BRA,"FW,MF",27.0,9.7,4,0,0,17,21,7,19,8,16,1,1,0,49,19,22,46.3,Matches
Caio Vinícius,br BRA,"DF,MF",25.0,6.7,6,0,0,8,6,0,3,6,7,0,0,0,27,12,10,54.5,Matches
EDU,br BRA,DF,23.0,8.3,2,0,0,5,4,0,0,6,8,0,0,0,23,17,12,58.6,Matches
Patric Calmon PK,br BRA,DF,29.0,6.0,1,1,0,6,3,2,29,15,5,0,0,0,22,11,3,78.6,Matches
Camutanga,br BRA,DF,30.0,5.0,1,1,0,3,2,0,0,2,5,0,0,0,14,12,9,57.1,Matches
Bruno Uvini,br BRA,DF,32.0,4.8,1,0,0,2,1,0,0,6,1,0,0,0,5,18,4,81.8,Matches
Jean Mota,br BRA,"MF,FW",30.0,4.6,0,0,0,7,7,1,32,0,3,0,0,0,23,4,7,36.4,Matches
Zeca,br BRA,DF,29.0,4.3,1,0,0,1,3,2,18,3,5,0,0,0,21,0,4,0.0,Matches
Rodrigo Andrade,br BRA,"MF,FW",26.0,4.3,0,0,0,7,4,0,4,3,5,0,0,0,34,4,4,50.0,Matches
Dudu,br BRA,MF,24.0,3.3,4,1,1,6,5,0,2,2,6,0,0,0,31,1,4,20.0,Matches
Everaldo,br BRA,"FW,MF",29.0,4.7,3,0,0,15,15,0,22,2,4,0,0,0,14,0,3,0.0,Matches
Reynaldo Cesar Moraes,br BRA,DF,27.0,4.0,1,0,0,6,0,0,1,0,6,0,1,0,9,7,5,58.3,Matches
Erick Castillo,ec ECU,"FW,MF",28.0,3.0,0,0,0,3,2,2,4,0,0,0,0,0,5,5,8,38.5,Matches
Mateus Gonçalves Martins,br BRA,"MF,FW",29.0,2.3,0,0,0,1,3,0,6,0,1,0,0,0,11,1,3,25.0,Matches
Luiz Adriano,br BRA,FW,36.0,2.2,1,0,0,4,5,2,0,0,0,0,0,0,3,9,13,40.9,Matches
Daniel Jr,br BRA,"MF,FW",21.0,1.5,1,0,0,1,7,0,5,0,1,0,0,0,11,1,0,100.0,Matches
Muriel Becker,br BRA,GK,36.0,1.0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,1,50.0,Matches
José Hugo,br BRA,"MF,FW",24.0,7.0,3,0,0,12,16,1,39,6,11,0,0,0,39,10,18,35.7,Matches
Iury de Castilho,br BRA,"FW,MF",28.0,1.4,1,0,0,7,9,1,1,0,0,0,0,0,6,1,7,12.5,Matches
Lawan,br BRA,FW,18.0,1.2,1,0,0,4,3,0,0,0,0,0,0,0,4,8,9,47.1,Matches
Fábio Soares,br BRA,MF,19.0,1.0,0,0,0,0,1,0,3,0,3,0,0,0,4,2,2,50.0,Matches
Pablo Baianinho,br BRA,"MF,FW",20.0,0.4,1,0,0,3,2,0,6,0,0,0,0,0,1,0,0,,Matches
Léo Gamalho,br BRA,FW,38.0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,Matches
Luis Miguel,br BRA,"MF,FW",18.0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,Matches
José Breno,br BRA,MF,19.0,0.1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,,Matches
Squad Total,,,27.0,38.0,103,6,1,446,471,54,728,360,406,5,4,2,1587,581,629,48.0,
Opponent Total,,,27.9,38.0,97,3,0,498,424,41,835,285,433,4,7,1,1588,630,582,52.0,
