Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Unnamed: 22_level_0
Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
Lucas Arcanjo,br BRA,GK,25.0,37.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Wagner,br BRA,DF,24.0,35.1,5,27,10,37.0,0.77,0.29,0.15,0.4,10.2,0,1,1,4.7,3.9,0.14,0.3,0.1,Matches
Lucas Esteves,br BRA,DF,23.0,32.6,1,32,6,18.8,0.98,0.18,0.03,0.17,22.9,8,0,0,1.6,1.6,0.05,-0.6,-0.6,Matches
Matheusinho,br BRA,"MF,FW",26.0,27.4,5,52,22,42.3,1.9,0.8,0.1,0.23,21.2,0,0,0,3.5,3.5,0.07,1.5,1.5,Matches
Alerrandro,br BRA,FW,24.0,26.5,15,63,28,44.4,2.38,1.06,0.17,0.39,18.4,0,4,4,11.0,7.8,0.12,4.0,3.2,Matches
Willian,br BRA,MF,30.0,29.4,5,43,14,32.6,1.46,0.48,0.12,0.36,14.5,0,0,0,4.1,4.1,0.1,0.9,0.9,Matches
Luan Silva,br BRA,MF,24.0,17.6,0,13,3,23.1,0.74,0.17,0.0,0.0,26.3,0,0,0,0.4,0.4,0.03,-0.4,-0.4,Matches
Willean Lepo,br BRA,DF,27.0,19.9,0,15,4,26.7,0.75,0.2,0.0,0.0,18.9,0,0,0,0.9,0.9,0.06,-0.9,-0.9,Matches
Raúl Cáceres,py PAR,DF,32.0,18.8,0,3,0,0.0,0.16,0.0,0.0,,17.8,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
Osvaldo,br BRA,"MF,FW",36.0,11.9,2,19,10,52.6,1.6,0.84,0.05,0.1,22.9,2,1,1,2.4,1.7,0.09,-0.4,-0.7,Matches
Neris,br BRA,DF,31.0,15.1,1,2,1,50.0,0.13,0.07,0.5,1.0,7.2,0,0,0,0.2,0.2,0.12,0.8,0.8,Matches
Janderson,br BRA,"FW,MF",24.0,15.5,3,40,11,27.5,2.58,0.71,0.08,0.27,20.6,0,0,0,2.1,2.1,0.05,0.9,0.9,Matches
Ricardo,br BRA,MF,29.0,11.6,0,12,1,8.3,1.04,0.09,0.0,0.0,29.7,0,0,0,0.2,0.2,0.02,-0.2,-0.2,Matches
Léo Naldi,br BRA,MF,22.0,12.3,0,14,3,21.4,1.14,0.24,0.0,0.0,25.2,0,0,0,0.5,0.5,0.03,-0.5,-0.5,Matches
Gustavo Mosquito,br BRA,"FW,MF",26.0,8.9,1,12,1,8.3,1.36,0.11,0.0,0.0,17.7,0,1,1,2.1,1.4,0.12,-1.1,-1.4,Matches
Machado,br BRA,MF,28.0,9.1,0,12,4,33.3,1.31,0.44,0.0,0.0,30.4,4,0,0,0.3,0.3,0.03,-0.3,-0.3,Matches
Carlos Eduardo,br BRA,"FW,MF",27.0,9.7,0,27,7,25.9,2.79,0.72,0.0,0.0,21.2,0,0,0,1.5,1.5,0.06,-1.5,-1.5,Matches
Caio Vinícius,br BRA,"DF,MF",25.0,6.7,0,2,0,0.0,0.3,0.0,0.0,,13.7,0,0,0,0.5,0.5,0.26,-0.5,-0.5,Matches
EDU,br BRA,DF,23.0,8.3,0,4,1,25.0,0.48,0.12,0.0,0.0,12.3,0,0,0,0.7,0.7,0.17,-0.7,-0.7,Matches
Patric Calmon PK,br BRA,DF,29.0,6.0,0,4,1,25.0,0.67,0.17,0.0,0.0,20.7,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
Camutanga,br BRA,DF,30.0,5.0,0,6,1,16.7,1.2,0.2,0.0,0.0,24.9,2,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
Bruno Uvini,br BRA,DF,32.0,4.8,0,2,0,0.0,0.42,0.0,0.0,,8.9,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
Jean Mota,br BRA,"MF,FW",30.0,4.6,1,7,3,42.9,1.51,0.65,0.14,0.33,16.5,0,0,0,0.5,0.5,0.07,0.5,0.5,Matches
Zeca,br BRA,DF,29.0,4.3,0,2,2,100.0,0.46,0.46,0.0,0.0,16.5,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
Rodrigo Andrade,br BRA,"MF,FW",26.0,4.3,0,2,0,0.0,0.47,0.0,0.0,,21.0,0,0,0,0.3,0.3,0.13,-0.3,-0.3,Matches
Dudu,br BRA,MF,24.0,3.3,0,1,0,0.0,0.3,0.0,0.0,,21.1,0,0,0,0.1,0.1,0.09,-0.1,-0.1,Matches
Everaldo,br BRA,"FW,MF",29.0,4.7,2,9,4,44.4,1.92,0.86,0.22,0.5,17.3,0,0,0,1.1,1.1,0.12,0.9,0.9,Matches
Reynaldo Cesar Moraes,br BRA,DF,27.0,4.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Erick Castillo,ec ECU,"FW,MF",28.0,3.0,1,3,1,33.3,0.99,0.33,0.33,1.0,11.3,0,0,0,0.7,0.7,0.24,0.3,0.3,Matches
Mateus Gonçalves Martins,br BRA,"MF,FW",29.0,2.3,0,3,1,33.3,1.29,0.43,0.0,0.0,20.5,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
Luiz Adriano,br BRA,FW,36.0,2.2,0,2,1,50.0,0.89,0.45,0.0,0.0,10.9,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
Daniel Jr,br BRA,"MF,FW",21.0,1.5,0,3,1,33.3,1.99,0.66,0.0,0.0,32.9,1,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
Muriel Becker,br BRA,GK,36.0,1.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
José Hugo,br BRA,"MF,FW",24.0,7.0,1,13,4,30.8,1.85,0.57,0.08,0.25,18.7,0,0,0,1.5,1.5,0.12,-0.5,-0.5,Matches
Iury de Castilho,br BRA,"FW,MF",28.0,1.4,1,3,1,33.3,2.18,0.73,0.33,1.0,8.0,0,0,0,1.2,1.2,0.39,-0.2,-0.2,Matches
Lawan,br BRA,FW,18.0,1.2,0,2,0,0.0,1.7,0.0,0.0,,10.4,0,0,0,0.2,0.2,0.11,-0.2,-0.2,Matches
Fábio Soares,br BRA,MF,19.0,1.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Pablo Baianinho,br BRA,"MF,FW",20.0,0.4,0,2,0,0.0,4.86,0.0,0.0,,23.5,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
Léo Gamalho,br BRA,FW,38.0,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Luis Miguel,br BRA,"MF,FW",18.0,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
José Breno,br BRA,MF,19.0,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Squad Total,,,27.0,38.0,44,456,146,32.0,12.0,3.84,0.08,0.25,19.6,17,7,7,42.5,37.2,0.08,1.5,-0.2,
Opponent Total,,,27.9,38.0,50,531,161,30.3,13.97,4.24,0.09,0.29,18.8,19,3,4,44.3,41.3,0.08,5.7,5.7,
