Unnamed: 0_level_0,Unnamed: 1_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks
Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
vs Ath Paranaense,2,38,38,3420,38.0,,,0,,,14,9,15,10,26.3,4,2,1,1,33.3
vs Atlético Mineiro,3,38,38,3420,38.0,,,0,,,10,11,17,9,23.7,5,5,0,0,0.0
vs Bahia,2,38,38,3420,38.0,,,0,,,19,10,9,14,36.8,2,2,0,0,0.0
vs Botafogo (RJ),4,38,38,3420,38.0,,,0,,,22,7,9,18,47.4,6,3,2,1,40.0
vs Chapecoense,2,38,38,3415,38.0,,,0,,,17,10,11,16,42.1,2,2,0,0,0.0
vs Corinthians,2,38,38,3420,38.0,,,0,,,7,12,19,9,23.7,5,4,1,0,20.0
vs Coritiba,1,38,38,3420,38.0,,,0,,,15,11,12,15,39.5,2,2,0,0,0.0
vs Criciúma,4,38,38,3420,38.0,,,0,,,20,11,7,18,47.4,3,2,1,0,33.3
vs Cruzeiro,3,38,38,3420,38.0,,,0,,,6,8,24,6,15.8,6,5,0,1,0.0
vs Figueirense,2,38,38,3420,38.0,,,0,,,17,8,13,13,34.2,2,2,0,0,0.0
vs Flamengo,4,38,38,3420,38.0,,,0,,,14,10,14,12,31.6,6,3,3,0,50.0
vs Fluminense,3,38,38,3420,38.0,,,0,,,11,10,17,7,18.4,7,6,0,1,0.0
vs Goiás,2,38,38,3420,38.0,,,0,,,17,8,13,20,52.6,1,0,0,1,
vs Grêmio,3,38,38,3417,38.0,,,0,,,11,10,17,15,39.5,3,3,0,0,0.0
vs Internacional,3,38,38,3420,38.0,,,0,,,11,6,21,7,18.4,3,1,2,0,66.7
vs Palmeiras,4,38,38,3420,38.0,,,0,,,20,7,11,13,34.2,5,5,0,0,0.0
vs Santos,2,38,38,3420,38.0,,,0,,,15,8,15,14,36.8,2,2,0,0,0.0
vs São Paulo,2,38,38,3420,38.0,,,0,,,8,10,20,4,10.5,8,7,1,0,12.5
vs Sport Recife,1,38,38,3415,38.0,,,0,,,14,10,14,13,34.2,2,2,0,0,0.0
vs Vitória,2,38,38,3420,38.0,,,0,,,20,8,10,16,42.1,4,2,1,1,33.3
