Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success
Squad,# Pl,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90
vs Ath Paranaense,41,26.2,38,3420,90,100,38.0,418,83,,114,25,276,1.42,48,43,5,0.13
vs Atlético Mineiro,28,26.6,38,3420,90,100,38.0,418,85,,111,25,269,1.03,47,65,-18,-0.47
vs Avaí,36,26.2,38,3420,90,100,38.0,418,83,,113,25,272,1.66,60,38,22,0.58
vs Chapecoense,33,26.4,38,3420,90,100,38.0,418,84,,112,22,276,1.47,44,34,10,0.26
vs Corinthians,32,26.4,38,3420,90,100,38.0,418,85,,110,25,290,0.63,31,71,-40,-1.05
vs Coritiba,44,26.2,38,3420,90,100,38.0,421,82,,111,23,276,1.55,42,31,11,0.29
vs Cruzeiro,37,26.1,38,3420,90,100,38.0,418,82,,113,25,273,1.29,35,44,-9,-0.24
vs Figueirense,38,26.5,38,3420,90,100,38.0,418,83,,111,23,286,1.61,50,36,14,0.37
vs Flamengo,36,26.4,38,3420,90,100,38.0,418,84,,114,25,267,1.61,53,45,8,0.21
vs Fluminense,39,26.6,38,3420,90,100,38.0,421,82,,110,23,277,1.63,49,40,9,0.24
vs Goiás,35,26.6,38,3420,90,100,38.0,418,85,,113,25,274,1.79,49,39,10,0.26
vs Grêmio,34,26.3,38,3420,90,100,38.0,418,84,,111,25,279,1.0,32,52,-20,-0.53
vs Internacional,38,26.4,38,3420,90,100,38.0,419,83,,109,23,277,1.18,38,39,-1,-0.03
vs Joinville,46,26.5,38,3420,90,100,38.0,418,82,,114,27,277,1.92,48,26,22,0.58
vs Palmeiras,39,26.5,38,3420,90,100,38.0,418,83,,111,24,275,1.39,51,60,-9,-0.24
vs Ponte Preta,37,26.4,38,3420,90,100,38.0,418,84,,113,25,270,1.34,40,41,-1,-0.03
vs Santos,36,26.5,38,3420,90,100,38.0,418,84,,111,28,268,1.21,41,59,-18,-0.47
vs São Paulo,35,26.6,38,3420,90,100,38.0,418,83,,111,25,285,1.16,47,53,-6,-0.16
vs Sport Recife,28,26.1,38,3420,90,100,38.0,418,83,,114,23,279,1.08,38,53,-15,-0.39
vs Vasco da Gama,41,26.2,38,3420,90,100,38.0,418,82,,112,25,284,1.63,54,28,26,0.68
