Unnamed: 0_level_0,Unnamed: 1_level_0,Home,Home,Home,Home,Home,Home,Home,Home,Home,Away,Away,Away,Away,Away,Away,Away,Away,Away
Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,MP,W,D,L,GF,GA,GD,Pts,Pts/MP
1,Palmeiras,19,16,2,1,42,13,29,50,2.63,19,7,9,3,22,13,9,30,1.58
2,Flamengo,19,14,2,3,30,8,22,44,2.32,19,7,7,5,29,21,8,28,1.47
3,Internacional,19,14,4,1,32,10,22,46,2.42,19,5,8,6,19,19,0,23,1.21
4,Grêmio,19,12,5,2,36,14,22,41,2.16,19,6,7,6,12,13,-1,25,1.32
5,São Paulo,19,10,8,1,25,13,12,38,2.0,19,6,7,6,21,21,0,25,1.32
6,Atlético Mineiro,19,12,4,3,31,15,16,40,2.11,19,5,4,10,25,28,-3,19,1.0
7,Ath Paranaense,19,14,2,3,44,14,30,44,2.32,19,2,7,10,10,23,-13,13,0.68
8,Cruzeiro,19,11,4,4,25,14,11,37,1.95,19,3,7,9,9,20,-11,16,0.84
9,Botafogo (RJ),19,10,7,2,22,14,8,37,1.95,19,3,5,11,16,32,-16,14,0.74
10,Santos,19,9,6,4,28,14,14,33,1.74,19,4,5,10,18,26,-8,17,0.89
11,Bahia,19,10,7,2,27,13,14,37,1.95,19,2,5,12,12,28,-16,11,0.58
12,Fluminense,19,9,5,5,17,11,6,32,1.68,19,3,4,12,15,35,-20,13,0.68
13,Corinthians,19,9,8,2,19,12,7,35,1.84,19,2,3,14,15,23,-8,9,0.47
14,Chapecoense,19,10,5,4,24,16,8,35,1.84,19,1,6,12,10,34,-24,9,0.47
15,Ceará,19,7,8,4,18,16,2,29,1.53,19,3,6,10,14,22,-8,15,0.79
16,Vasco da Gama,19,9,5,5,29,24,5,32,1.68,19,1,8,10,12,24,-12,11,0.58
17,Sport Recife,19,8,6,5,19,17,2,30,1.58,19,3,3,13,16,40,-24,12,0.63
18,América (MG),19,8,7,4,22,17,5,31,1.63,19,2,3,14,8,30,-22,9,0.47
19,Vitória,19,7,5,7,22,24,-2,26,1.37,19,2,5,12,14,39,-25,11,0.58
20,Paraná,19,3,10,6,13,23,-10,19,1.0,19,1,1,17,5,34,-29,4,0.21
