Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
vs América (MG),34,27.0,52.5,38,418,3420,38.0,46,32,78,40,6,7,72,5,1.21,0.84,2.05,1.05,1.89
vs Ath Paranaense,34,27.1,44.9,38,418,3420,38.0,34,19,53,25,9,10,100,2,0.89,0.5,1.39,0.66,1.16
vs Atlético Mineiro,32,26.8,44.1,38,418,3420,38.0,39,23,62,34,5,6,97,8,1.03,0.61,1.63,0.89,1.5
vs Bahia,36,26.9,51.3,38,418,3420,38.0,40,29,69,38,2,3,100,4,1.05,0.76,1.82,1.0,1.76
vs Botafogo (RJ),34,27.3,53.8,38,418,3420,38.0,45,30,75,41,4,6,91,4,1.18,0.79,1.97,1.08,1.87
vs Ceará,41,27.3,55.2,38,418,3420,38.0,37,27,64,35,2,2,91,1,0.97,0.71,1.68,0.92,1.63
vs Chapecoense,37,26.9,53.7,38,418,3420,38.0,50,40,90,47,3,4,94,2,1.32,1.05,2.37,1.24,2.29
vs Corinthians,38,27.0,45.1,38,418,3420,38.0,34,19,53,30,4,4,85,4,0.89,0.5,1.39,0.79,1.29
vs Cruzeiro,35,27.0,48.7,38,418,3420,38.0,32,20,52,28,4,5,104,4,0.84,0.53,1.37,0.74,1.26
vs Flamengo,32,27.0,43.9,38,418,3420,38.0,29,22,51,27,2,4,96,10,0.76,0.58,1.34,0.71,1.29
vs Fluminense,38,27.1,50.3,38,418,3420,38.0,45,28,73,41,4,7,96,5,1.18,0.74,1.92,1.08,1.82
vs Grêmio,39,26.9,43.2,38,418,3420,38.0,26,20,46,26,0,0,109,3,0.68,0.53,1.21,0.68,1.21
vs Internacional,32,27.0,48.1,38,418,3420,38.0,27,19,46,24,3,3,102,7,0.71,0.5,1.21,0.63,1.13
vs Palmeiras,29,26.9,50.4,38,418,3420,38.0,26,15,41,24,2,2,116,9,0.68,0.39,1.08,0.63,1.03
vs Paraná,50,27.0,58.3,38,418,3420,38.0,57,32,89,49,8,9,73,6,1.5,0.84,2.34,1.29,2.13
vs Santos,35,27.1,47.2,38,418,3420,38.0,40,30,70,38,2,2,104,4,1.05,0.79,1.84,1.0,1.79
vs São Paulo,38,27.1,52.3,38,418,3420,38.0,32,24,56,30,2,3,97,4,0.84,0.63,1.47,0.79,1.42
vs Sport Recife,36,27.0,52.5,38,418,3420,38.0,57,37,94,52,5,8,79,2,1.5,0.97,2.47,1.37,2.34
vs Vasco da Gama,42,27.0,50.5,38,418,3420,38.0,45,33,78,43,2,3,85,11,1.18,0.87,2.05,1.13,2.0
vs Vitória,46,27.1,53.3,38,418,3420,38.0,59,47,106,56,3,6,89,6,1.55,1.24,2.79,1.47,2.71
