Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types
Squad,# Pl,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
vs Ath Paranaense,36,38.0,797,20.97,532,92,49,48,58,18,53,1.39,37,2,1,6,5,2
vs Atlético Mineiro,32,38.0,951,25.03,672,87,72,58,52,10,82,2.16,49,10,5,10,8,0
vs Avaí,42,38.0,988,26.0,698,100,54,59,58,19,110,2.89,72,11,6,10,10,1
vs Bahia,31,38.0,910,23.95,642,64,65,50,72,17,72,1.89,43,7,5,11,4,2
vs Botafogo (RJ),33,38.0,1178,31.0,870,92,76,63,57,20,73,1.92,53,2,7,8,3,0
vs Ceará,33,38.0,889,23.39,644,70,64,50,44,17,65,1.71,40,7,3,13,2,0
vs Chapecoense,36,38.0,1083,28.5,741,109,77,71,74,11,85,2.24,50,10,6,9,9,1
vs Corinthians,33,38.0,881,23.18,654,79,55,40,46,7,57,1.5,40,3,4,4,5,1
vs Cruzeiro,35,38.0,887,23.34,635,72,65,46,54,15,81,2.13,54,2,9,12,4,0
vs CSA,40,38.0,1203,31.66,866,98,84,71,67,17,100,2.63,71,8,6,8,7,0
vs Flamengo,37,38.0,688,18.11,466,76,44,39,48,15,60,1.58,39,4,7,2,8,0
vs Fluminense,39,38.0,890,23.42,668,53,52,50,47,20,78,2.05,51,6,6,8,5,2
vs Fortaleza,32,38.0,945,24.87,669,104,53,46,53,20,85,2.24,55,10,4,8,7,1
vs Goiás,39,38.0,994,26.16,693,92,79,76,53,1,106,2.79,67,12,11,10,6,0
vs Grêmio,40,38.0,842,22.16,561,93,60,48,57,23,62,1.63,35,7,2,8,10,0
vs Internacional,38,38.0,885,23.29,624,83,63,53,57,5,67,1.76,38,5,11,8,5,0
vs Palmeiras,35,38.0,707,18.61,507,58,41,25,65,11,52,1.37,30,5,3,4,9,1
vs Santos,30,38.0,798,21.0,552,49,77,54,51,15,56,1.47,37,3,5,8,2,1
vs São Paulo,36,38.0,833,21.92,590,80,45,40,63,15,47,1.24,22,7,3,9,6,0
vs Vasco da Gama,39,38.0,923,24.29,621,84,85,60,56,17,68,1.79,39,2,9,12,4,2
