Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG)
Squad,# Pl,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90
vs Ath Paranaense,36,27.2,38,3420,90,100,38.0,418,84,,111,24,313,1.05,32,51,-19,-0.5,49.8,64.0,-14.2,-0.37
vs Atlético Mineiro,32,27.2,38,3420,90,100,38.0,418,84,,111,22,317,1.5,49,45,4,0.11,50.3,59.5,-9.2,-0.24
vs Avaí,42,27.3,38,3420,90,100,38.0,418,83,,114,23,307,2.18,62,18,44,1.16,57.9,34.8,23.1,0.61
vs Bahia,31,27.2,38,3420,90,100,38.0,418,83,,112,26,316,1.37,43,44,-1,-0.03,47.4,51.7,-4.3,-0.11
vs Botafogo (RJ),33,27.5,38,3420,90,100,38.0,418,84,,112,22,318,1.76,45,31,14,0.37,62.9,37.9,24.9,0.66
vs Ceará,33,27.2,38,3420,90,100,38.0,418,84,,114,25,315,1.74,41,36,5,0.13,53.4,48.7,4.7,0.12
vs Chapecoense,36,27.2,38,3420,90,100,38.0,418,83,,113,23,320,1.87,52,31,21,0.55,67.7,41.7,26.0,0.68
vs Corinthians,33,27.4,38,3420,90,100,38.0,418,85,,113,20,316,1.16,34,42,-8,-0.21,42.8,42.4,0.5,0.01
vs Cruzeiro,35,27.3,38,3420,90,100,38.0,418,83,,113,21,313,1.66,46,27,19,0.5,51.4,46.5,4.8,0.13
vs CSA,40,27.2,38,3420,90,100,38.0,418,83,,113,21,323,1.95,58,24,34,0.89,65.6,34.9,30.8,0.81
vs Flamengo,37,27.4,38,3420,90,100,38.0,418,85,,112,23,322,0.47,37,86,-49,-1.29,42.8,81.6,-38.8,-1.02
vs Fluminense,39,27.4,38,3420,90,100,38.0,418,84,,113,24,319,1.53,46,38,8,0.21,53.0,54.6,-1.6,-0.04
vs Fortaleza,32,27.3,38,3420,90,100,38.0,418,84,,112,23,313,1.39,49,50,-1,-0.03,62.1,50.0,12.0,0.32
vs Goiás,39,27.3,38,3420,90,100,38.0,418,84,,113,24,314,1.45,64,46,18,0.47,63.4,47.2,16.2,0.43
vs Grêmio,40,27.6,38,3420,90,100,38.0,418,84,,114,24,317,1.08,39,64,-25,-0.66,42.4,57.0,-14.6,-0.39
vs Internacional,38,27.6,38,3420,90,100,38.0,418,84,,112,23,326,1.26,39,44,-5,-0.13,47.5,53.0,-5.5,-0.15
vs Palmeiras,35,27.5,38,3420,90,100,38.0,418,84,,112,26,317,0.76,32,61,-29,-0.76,33.6,61.3,-27.7,-0.73
vs Santos,30,27.6,38,3420,90,100,38.0,418,84,,111,24,320,0.84,33,60,-27,-0.71,39.8,62.1,-22.3,-0.59
vs São Paulo,36,27.5,38,3420,90,100,38.0,418,83,,114,23,324,1.03,30,39,-9,-0.24,42.3,44.1,-1.9,-0.05
vs Vasco da Gama,39,27.6,38,3420,90,100,38.0,418,83,,112,25,316,1.37,45,39,6,0.16,53.7,56.7,-2.9,-0.08
