Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
vs Ath Paranaense,36,27.2,43.2,38,418,3420,38.0,32,19,51,26,6,8,92,4,49.8,43.7,35.4,79.2,641,1213,0.84,0.5,1.34,0.68,1.18,1.31,0.93,2.24,1.15,2.08
vs Atlético Mineiro,32,27.2,50.2,38,418,3420,38.0,48,29,77,41,7,9,79,1,50.3,43.4,34.8,78.2,831,1612,1.26,0.76,2.03,1.08,1.84,1.32,0.92,2.24,1.14,2.06
vs Avaí,42,27.3,53.7,38,418,3420,38.0,61,40,101,54,7,7,65,4,57.9,52.4,40.7,93.1,733,1750,1.61,1.05,2.66,1.42,2.47,1.52,1.07,2.59,1.38,2.45
vs Bahia,31,27.2,53.1,38,418,3420,38.0,43,27,70,39,4,5,82,6,47.4,43.4,31.8,75.3,696,1542,1.13,0.71,1.84,1.03,1.74,1.25,0.84,2.08,1.14,1.98
vs Botafogo (RJ),33,27.5,50.6,38,418,3420,38.0,43,32,75,40,3,4,78,5,62.9,59.9,49.3,109.2,913,1849,1.13,0.84,1.97,1.05,1.89,1.66,1.3,2.95,1.58,2.87
vs Ceará,33,27.2,54.4,38,418,3420,38.0,40,29,69,38,2,2,71,3,53.4,51.8,40.8,92.6,749,1551,1.05,0.76,1.82,1.0,1.76,1.41,1.07,2.48,1.36,2.44
vs Chapecoense,36,27.2,55.5,38,418,3420,38.0,51,36,87,45,6,10,86,3,67.7,59.8,47.5,107.3,800,1720,1.34,0.95,2.29,1.18,2.13,1.78,1.25,3.03,1.57,2.82
vs Corinthians,33,27.4,48.7,38,418,3420,38.0,33,22,55,28,5,7,98,6,42.8,37.2,28.1,65.3,782,1454,0.87,0.58,1.45,0.74,1.32,1.13,0.74,1.87,0.98,1.72
vs Cruzeiro,35,27.3,47.8,38,418,3420,38.0,46,30,76,42,4,7,70,6,51.4,45.9,32.8,78.7,768,1496,1.21,0.79,2.0,1.11,1.89,1.35,0.86,2.21,1.21,2.07
vs CSA,40,27.2,59.5,38,418,3420,38.0,55,42,97,53,2,5,69,6,65.6,61.8,51.0,112.8,831,2049,1.45,1.11,2.55,1.39,2.5,1.73,1.34,3.07,1.63,2.97
vs Flamengo,37,27.4,41.6,38,418,3420,38.0,36,24,60,30,6,8,87,9,42.8,36.5,29.8,66.3,527,1025,0.95,0.63,1.58,0.79,1.42,1.13,0.78,1.91,0.96,1.74
vs Fluminense,39,27.4,42.9,38,418,3420,38.0,46,31,77,42,4,4,95,3,53.0,49.9,37.8,87.6,709,1366,1.21,0.82,2.03,1.11,1.92,1.39,0.99,2.39,1.31,2.31
vs Fortaleza,32,27.3,54.6,38,418,3420,38.0,48,33,81,43,5,7,94,7,62.1,57.0,45.2,102.3,763,1703,1.26,0.87,2.13,1.13,2.0,1.63,1.19,2.82,1.5,2.69
vs Goiás,39,27.3,57.8,38,418,3420,38.0,63,48,111,60,3,6,85,6,63.4,58.6,46.5,105.2,853,1843,1.66,1.26,2.92,1.58,2.84,1.67,1.22,2.89,1.54,2.77
vs Grêmio,40,27.6,43.4,38,418,3420,38.0,36,17,53,27,9,9,90,7,42.4,35.5,27.3,62.8,691,1380,0.95,0.45,1.39,0.71,1.16,1.12,0.72,1.83,0.93,1.65
vs Internacional,38,27.6,46.5,38,418,3420,38.0,38,24,62,34,4,5,79,4,47.5,44.0,34.9,78.9,703,1459,1.0,0.63,1.63,0.89,1.53,1.25,0.92,2.17,1.16,2.08
vs Palmeiras,35,27.5,50.5,38,418,3420,38.0,31,16,47,24,7,8,100,3,33.6,27.3,21.6,48.8,730,1312,0.82,0.42,1.24,0.63,1.05,0.88,0.57,1.45,0.72,1.28
vs Santos,30,27.6,43.8,38,418,3420,38.0,32,22,54,30,2,3,111,6,39.8,37.5,27.6,65.1,631,1164,0.84,0.58,1.42,0.79,1.37,1.05,0.73,1.77,0.99,1.71
vs São Paulo,36,27.5,46.7,38,418,3420,38.0,29,16,45,25,4,4,87,1,42.3,39.2,30.3,69.5,619,1371,0.76,0.42,1.18,0.66,1.08,1.11,0.8,1.91,1.03,1.83
vs Vasco da Gama,39,27.6,55.4,38,418,3420,38.0,42,28,70,38,4,4,92,7,53.7,50.6,38.9,89.5,730,1593,1.11,0.74,1.84,1.0,1.74,1.41,1.02,2.44,1.33,2.36
