Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper
Squad,# Pl,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
vs Ath Paranaense,3,38.0,51,3,1,8,2,59.3,0.28,10.3,0.27,218,604,36.1,795,162,44.5,37.5,385,64.9,48.7,634,23,3.6,23,0.61,11.7
vs Atlético Mineiro,3,38.0,45,5,1,5,1,54.3,0.24,10.3,0.27,177,502,35.3,744,156,39.0,35.7,368,57.6,44.2,567,29,5.1,26,0.68,11.1
vs Avaí,3,38.0,18,4,1,3,1,28.5,0.21,11.5,0.3,166,424,39.2,746,139,35.8,33.9,317,49.5,39.8,545,32,5.9,29,0.76,12.6
vs Bahia,2,38.0,44,9,3,3,1,46.7,0.24,3.7,0.1,220,530,41.5,790,145,40.8,35.5,301,69.1,48.5,544,23,4.2,25,0.66,12.3
vs Botafogo (RJ),2,38.0,31,3,1,7,2,33.7,0.26,4.7,0.12,183,458,40.0,710,166,42.4,35.6,284,55.3,43.0,456,28,6.1,17,0.45,11.4
vs Ceará,3,38.0,36,3,0,7,1,42.3,0.23,7.3,0.19,181,518,34.9,801,136,40.9,36.3,301,63.1,47.0,624,31,5.0,17,0.45,10.6
vs Chapecoense,2,38.0,31,4,0,6,0,37.7,0.23,6.7,0.18,134,334,40.1,640,146,30.8,31.7,306,44.8,38.7,612,25,4.1,36,0.95,14.1
vs Corinthians,3,38.0,42,4,0,7,1,42.2,0.27,1.2,0.03,212,547,38.8,736,124,47.1,38.2,304,65.8,47.2,599,32,5.3,5,0.13,9.5
vs Cruzeiro,2,38.0,27,4,1,2,0,38.3,0.24,11.3,0.3,196,510,38.4,727,154,47.5,38.2,311,53.1,43.7,628,30,4.8,12,0.32,10.3
vs CSA,2,38.0,24,4,1,6,0,29.7,0.21,5.7,0.15,149,378,39.4,694,146,34.0,33.3,255,55.7,43.0,458,31,6.8,22,0.58,12.7
vs Flamengo,3,38.0,86,6,0,10,1,80.4,0.35,-4.6,-0.12,209,559,37.4,723,157,44.5,37.0,360,65.8,48.2,577,32,5.5,12,0.32,10.2
vs Fluminense,4,38.0,38,4,0,4,3,46.0,0.23,11.0,0.29,201,491,40.9,703,137,44.4,37.7,330,54.2,42.5,563,30,5.3,14,0.37,11.6
vs Fortaleza,2,38.0,50,8,2,5,2,53.3,0.31,5.3,0.14,129,328,39.3,522,125,35.6,34.6,249,57.0,44.6,455,22,4.8,16,0.42,10.6
vs Goiás,3,38.0,46,4,3,5,2,49.0,0.32,5.0,0.13,158,409,38.6,727,153,34.3,34.2,342,46.8,39.8,612,23,3.8,33,0.87,14.7
vs Grêmio,3,38.0,64,7,2,10,1,59.0,0.27,-4.0,-0.1,207,509,40.7,733,132,45.3,37.3,274,64.6,46.5,502,18,3.6,24,0.63,12.3
vs Internacional,2,38.0,44,1,0,8,1,51.6,0.3,8.6,0.23,228,557,40.9,782,171,44.4,36.3,329,63.8,45.6,609,31,5.1,18,0.47,10.5
vs Palmeiras,3,38.0,61,5,0,6,0,60.4,0.27,-0.6,-0.02,190,498,38.2,757,157,39.8,35.3,341,57.8,44.5,549,25,4.6,25,0.66,11.9
vs Santos,2,38.0,60,5,1,5,2,59.1,0.26,1.1,0.03,228,570,40.0,709,122,48.5,37.6,383,59.0,43.7,500,26,5.2,26,0.68,11.0
vs São Paulo,2,38.0,39,3,0,3,0,46.5,0.25,7.5,0.2,206,563,36.6,778,124,45.5,37.8,320,65.3,48.4,502,19,3.8,18,0.47,12.1
vs Vasco da Gama,3,38.0,39,8,2,6,2,49.8,0.25,12.8,0.34,143,358,39.9,679,151,32.8,32.1,296,45.6,37.3,571,25,4.4,12,0.32,11.0
