Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 17_level_0,Unnamed: 18_level_0,Expected,Expected,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0
Squad,# Pl,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
vs Ath Paranaense,41,38.0,13329,16766,79.5,254873,92895,5349,6068,88.2,5900,6851,86.1,1797,3024,59.4,24,33.2,29.2,-9.2,361,1060,254,83,1396
vs Atl Goianiense,35,38.0,14260,17949,79.4,265213,98441,5970,6748,88.5,6248,7296,85.6,1702,2998,56.8,25,38.4,34.3,-13.4,364,1308,295,96,1650
vs Atlético Mineiro,34,38.0,11238,14912,75.4,213688,85507,4736,5535,85.6,4693,5635,83.3,1528,2947,51.8,36,33.6,23.1,2.4,272,901,196,57,1032
vs Bahia,39,38.0,15831,19293,82.1,285702,98845,6929,7712,89.8,6932,7911,87.6,1645,2787,59.0,44,42.9,37.3,1.1,389,1429,278,85,1694
vs Botafogo (RJ),45,38.0,15325,18749,81.7,272170,97293,6839,7600,90.0,6668,7634,87.3,1507,2650,56.9,39,41.5,37.4,-2.5,396,1335,325,90,1685
vs Ceará,34,38.0,16368,20075,81.5,300221,102742,6960,7788,89.4,7283,8343,87.3,1830,3070,59.6,30,33.7,32.4,-3.7,358,1361,285,90,1690
vs Corinthians,36,38.0,14578,18355,79.4,274198,101710,6079,6952,87.4,6414,7456,86.0,1819,3079,59.1,33,40.3,33.9,-7.3,387,1311,267,83,1610
vs Coritiba,47,38.0,16107,19623,82.1,290572,98627,7002,7764,90.2,7032,7997,87.9,1722,2953,58.3,36,46.3,40.6,-10.3,448,1458,303,93,1742
vs Flamengo,38,38.0,11194,14613,76.6,205943,80987,5016,5734,87.5,4521,5398,83.8,1394,2692,51.8,34,25.9,21.9,8.1,288,859,160,52,988
vs Fluminense,37,38.0,15010,18586,80.8,273128,96856,6453,7366,87.6,6677,7658,87.2,1631,2775,58.8,24,30.7,30.3,-6.7,307,1436,238,61,1633
vs Fortaleza,31,38.0,14428,17596,82.0,269426,90496,5710,6446,88.6,6764,7671,88.2,1655,2754,60.1,25,29.7,28.7,-4.7,316,1325,236,77,1524
vs Goiás,49,38.0,16329,20186,80.9,302792,106454,6856,7712,88.9,7283,8348,87.2,1899,3201,59.3,47,43.2,46.6,3.8,446,1601,357,106,1954
vs Grêmio,37,38.0,14828,18128,81.8,268999,97020,6339,7121,89.0,6591,7550,87.3,1580,2639,59.9,28,29.1,26.9,-1.1,312,1277,219,47,1435
vs Internacional,39,38.0,13937,17817,78.2,257990,96764,5797,6734,86.1,6177,7336,84.2,1659,2813,59.0,21,24.2,23.8,-3.2,280,1219,205,60,1525
vs Palmeiras,36,38.0,13499,16998,79.4,243432,91333,6000,6756,88.8,5730,6670,85.9,1482,2762,53.7,20,26.7,24.9,-6.7,332,1102,222,69,1335
vs RB Bragantino,35,38.0,14279,18234,78.3,264520,98327,6005,6918,86.8,6338,7436,85.2,1655,3019,54.8,25,26.0,23.9,-1.0,298,1099,227,74,1419
vs Santos,40,38.0,12730,16247,78.4,233143,88400,5440,6291,86.5,5590,6623,84.4,1442,2526,57.1,33,37.3,28.4,-4.3,338,1131,242,61,1335
vs São Paulo,28,38.0,12547,16026,78.3,242459,86933,4928,5676,86.8,5704,6539,87.2,1686,3117,54.1,33,28.2,25.0,4.8,299,1068,194,54,1104
vs Sport Recife,38,38.0,16371,20120,81.4,300738,101558,6877,7755,88.7,7365,8520,86.4,1821,3033,60.0,30,41.1,38.5,-11.1,438,1641,352,119,1955
vs Vasco da Gama,34,38.0,15928,19418,82.0,287637,100150,6856,7712,88.9,7058,8074,87.4,1697,2768,61.3,35,34.7,35.4,0.3,401,1474,289,88,1752
