Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes
Squad,# Pl,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
vs Ath Paranaense,31,38.0,18713,16841,1824,516,28,122,700,684,191,86,68,3,15142,48,356
vs Atl Goianiense,40,38.0,18146,16374,1734,488,44,146,690,665,202,71,76,3,14543,38,339
vs Atlético Mineiro,36,38.0,15004,13224,1745,521,45,88,640,663,179,75,80,2,11597,35,312
vs Bahia,30,38.0,16821,15060,1644,466,56,153,654,646,163,63,59,3,13593,117,268
vs Botafogo (RJ),38,38.0,16079,14163,1874,612,29,123,658,692,152,49,69,2,12744,42,295
vs Corinthians,43,38.0,16822,14922,1846,526,30,147,691,715,219,83,79,2,13373,54,340
vs Criciúma,34,38.0,20712,18840,1825,528,27,124,812,734,222,77,81,1,17082,47,364
vs Cruzeiro,39,38.0,17002,15138,1821,518,23,194,737,726,192,82,69,4,13630,43,365
vs Cuiabá,32,38.0,20912,19057,1788,472,37,185,889,786,222,74,93,1,17568,67,367
vs Flamengo,38,38.0,15837,14090,1683,463,29,115,603,654,161,72,58,3,12586,64,315
vs Fluminense,39,38.0,16154,14409,1679,469,47,106,729,699,194,64,77,6,12749,66,311
vs Fortaleza,28,38.0,20143,18245,1829,521,40,117,824,745,227,74,107,4,16511,69,392
vs Grêmio,38,38.0,19223,17603,1569,415,35,106,755,657,193,81,84,1,15783,51,321
vs Internacional,37,38.0,16588,14555,1944,608,23,178,644,786,163,40,78,7,12806,89,356
vs Juventude,36,38.0,18217,16281,1878,477,28,138,716,792,222,85,93,3,14780,58,318
vs Palmeiras,32,38.0,15247,13330,1872,583,30,96,573,660,145,64,50,3,11652,45,292
vs RB Bragantino,38,38.0,17652,15586,2001,517,26,176,814,853,233,75,100,3,13751,65,318
vs São Paulo,38,38.0,15500,13864,1607,494,21,112,610,600,162,57,67,0,12460,29,294
vs Vasco da Gama,40,38.0,18132,16255,1824,501,32,81,765,780,202,81,86,1,14735,53,317
vs Vitória,41,38.0,20529,18701,1787,470,29,134,835,772,215,91,78,0,17051,41,320
