Unnamed: 0_level_0,Unnamed: 1_level_0,Home,Home,Home,Home,Home,Home,Home,Home,Home,Away,Away,Away,Away,Away,Away,Away,Away,Away
Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,MP,W,D,L,GF,GA,GD,Pts,Pts/MP
1,Corinthians,19,12,5,2,32,15,17,41,2.16,19,9,4,6,18,15,3,31,1.63
2,Palmeiras,19,12,3,4,35,16,19,39,2.05,19,7,3,9,26,29,-3,24,1.26
3,Santos,19,12,4,3,25,12,13,40,2.11,19,5,8,6,17,20,-3,23,1.21
4,Grêmio,19,10,4,5,26,13,13,34,1.79,19,8,4,7,29,23,6,28,1.47
5,Cruzeiro,19,9,7,3,26,17,9,34,1.79,19,6,5,8,21,22,-1,23,1.21
6,Flamengo,19,10,6,3,32,13,19,36,1.89,19,5,5,9,17,25,-8,20,1.05
7,Vasco da Gama,19,8,7,4,21,21,0,31,1.63,19,7,4,8,19,26,-7,25,1.32
8,Chapecoense,19,9,3,7,24,21,3,30,1.58,19,6,6,7,23,28,-5,24,1.26
9,Atlético Mineiro,19,7,4,8,27,27,0,25,1.32,19,7,8,4,25,22,3,29,1.53
10,Botafogo (RJ),19,9,3,7,30,25,5,30,1.58,19,5,8,6,15,17,-2,23,1.21
11,Ath Paranaense,19,8,5,6,29,20,9,29,1.53,19,6,4,9,16,23,-7,22,1.16
12,Bahia,19,10,4,5,34,21,13,34,1.79,19,3,7,9,16,27,-11,16,0.84
13,São Paulo,19,9,8,2,29,18,11,35,1.84,19,4,3,12,19,31,-12,15,0.79
14,Fluminense,19,7,6,6,27,24,3,27,1.42,19,4,8,7,23,29,-6,20,1.05
15,Sport Recife,19,7,7,5,27,21,6,28,1.47,19,5,2,12,19,37,-18,17,0.89
16,Vitória,19,3,5,11,22,31,-9,14,0.74,19,8,5,6,28,27,1,29,1.53
17,Coritiba,19,7,5,7,21,18,3,26,1.37,19,4,5,10,21,33,-12,17,0.89
18,Avaí,19,5,9,5,15,20,-5,24,1.26,19,5,4,10,14,28,-14,19,1.0
19,Ponte Preta,19,9,3,7,26,21,5,30,1.58,19,1,6,12,11,31,-20,9,0.47
20,Atl Goianiense,19,4,5,10,18,23,-5,17,0.89,19,5,4,10,20,33,-13,19,1.0
