Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 15_level_0,Unnamed: 16_level_0,Unnamed: 17_level_0,Unnamed: 18_level_0
Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
vs América (MG),37,38.0,658,362,344,235,79,299,619,48.3,320,429,134,295,407,1065,732,6
vs Ath Paranaense,35,38.0,604,354,310,220,74,308,596,51.7,288,353,125,228,369,973,651,3
vs Atl Goianiense,33,38.0,513,293,248,192,73,272,573,47.5,301,396,133,263,348,861,726,4
vs Atlético Mineiro,32,38.0,599,356,321,215,63,271,636,42.6,365,377,144,233,380,979,827,10
vs Avaí,45,38.0,626,373,248,294,84,281,614,45.8,333,380,108,272,387,1013,701,5
vs Botafogo (RJ),43,38.0,737,431,320,340,77,381,797,47.8,416,394,127,267,371,1108,714,11
vs Ceará,40,38.0,605,350,295,244,66,283,599,47.2,316,384,127,257,309,914,723,4
vs Corinthians,42,38.0,545,332,265,215,65,274,605,45.3,331,427,120,307,409,954,730,8
vs Coritiba,41,38.0,595,335,279,245,71,279,616,45.3,337,385,149,236,322,917,769,6
vs Cuiabá,35,38.0,603,356,300,230,73,279,535,52.1,256,399,126,273,344,947,822,4
vs Flamengo,44,38.0,636,399,356,209,71,292,694,42.1,402,390,137,253,364,1000,775,5
vs Fluminense,32,38.0,820,450,392,300,128,349,794,44.0,445,433,133,300,394,1214,742,7
vs Fortaleza,34,38.0,612,364,280,257,75,284,661,43.0,377,421,134,287,387,999,718,7
vs Goiás,36,38.0,532,318,255,210,67,260,561,46.3,301,326,96,230,313,845,643,3
vs Internacional,37,38.0,537,315,278,205,54,231,551,41.9,320,427,130,297,375,912,606,8
vs Juventude,45,38.0,573,339,224,243,106,283,562,50.4,279,339,119,220,349,922,721,6
vs Palmeiras,35,38.0,604,352,321,220,63,312,639,48.8,327,392,158,234,364,968,889,7
vs RB Bragantino,36,38.0,586,337,285,228,73,251,539,46.6,288,357,121,236,384,970,770,7
vs Santos,40,38.0,627,376,290,264,73,301,680,44.3,379,368,119,249,353,980,752,8
vs São Paulo,39,38.0,545,305,287,212,46,250,539,46.4,289,400,128,272,394,939,734,2
