Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes
Squad,# Pl,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
vs América (MG),36,38.0,18068,16005,2014,589,43,133,679,808,202,69,109,5,14006,49,352
vs Ath Paranaense,40,38.0,18873,16866,1954,565,31,164,714,798,180,65,80,0,15260,53,287
vs Atl Goianiense,31,38.0,17862,15940,1847,560,28,166,921,710,225,90,91,1,14192,75,306
vs Atlético Mineiro,35,38.0,16060,14225,1792,597,25,131,590,621,155,67,73,0,12651,43,305
vs Bahia,38,38.0,18649,16674,1905,581,38,178,794,753,209,87,64,0,14748,70,297
vs Ceará,38,38.0,17793,15774,1973,593,30,176,711,800,208,76,72,2,14042,46,283
vs Chapecoense,42,38.0,20442,18547,1848,563,30,150,804,749,238,84,108,1,16842,47,303
vs Corinthians,33,38.0,18044,16373,1608,420,34,115,698,680,187,75,76,3,14584,63,324
vs Cuiabá,30,38.0,19193,17265,1873,572,34,163,850,756,196,68,95,0,15558,55,286
vs Flamengo,41,38.0,14974,13032,1873,594,33,145,533,685,158,63,72,2,11442,69,275
vs Fluminense,36,38.0,18100,16295,1765,568,37,145,689,675,183,70,84,4,14645,40,352
vs Fortaleza,28,38.0,16578,14623,1904,635,30,137,683,683,195,82,83,4,12960,51,286
vs Grêmio,39,38.0,17508,15632,1843,632,16,102,539,668,137,50,73,1,13881,33,302
vs Internacional,36,38.0,17321,15355,1909,671,47,143,711,674,187,72,92,3,13675,57,355
vs Juventude,35,38.0,20206,18302,1867,572,24,147,818,756,191,80,94,1,16596,37,308
vs Palmeiras,46,38.0,17602,15605,1948,579,34,138,746,731,206,73,91,0,14174,49,284
vs RB Bragantino,39,38.0,18032,15877,2106,571,25,138,778,894,233,88,106,1,14140,49,351
vs Santos,38,38.0,16519,14552,1900,560,34,149,663,767,179,80,73,1,12731,67,254
vs São Paulo,31,38.0,15293,13270,1972,694,33,200,610,732,171,75,59,0,11512,51,294
vs Sport Recife,38,38.0,19595,17672,1886,598,18,158,838,712,238,99,108,1,16061,37,306
