Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG)
Squad,# Pl,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90
vs América (MG),37,27.3,38,3420,90,100,38.0,418,79,237,181,23,263,1.39,40,40,0,0.0,49.7,45.6,4.1,0.11
vs Ath Paranaense,35,27.2,38,3420,90,100,38.0,418,80,238,180,22,264,1.21,48,48,0,0.0,48.4,47.1,1.3,0.04
vs Atl Goianiense,33,27.6,38,3420,90,100,38.0,418,79,231,180,23,265,1.74,57,39,18,0.47,51.2,43.1,8.2,0.21
vs Atlético Mineiro,32,27.3,38,3420,90,100,38.0,418,81,239,174,21,262,1.13,37,45,-8,-0.21,33.7,54.1,-20.4,-0.54
vs Avaí,45,27.6,38,3420,90,100,38.0,418,81,234,179,21,267,1.87,60,34,26,0.68,62.6,44.0,18.6,0.49
vs Botafogo (RJ),43,27.5,38,3420,90,100,38.0,418,81,232,183,22,267,1.39,43,41,2,0.05,50.4,40.8,9.6,0.25
vs Ceará,40,27.1,38,3420,90,100,38.0,418,80,234,179,22,255,1.61,41,34,7,0.18,48.0,43.9,4.0,0.11
vs Corinthians,42,27.2,38,3420,90,100,38.0,418,78,238,179,21,269,1.0,36,44,-8,-0.21,41.0,40.9,0.2,0.0
vs Coritiba,41,27.2,38,3420,90,100,38.0,418,79,235,180,23,262,1.74,60,39,21,0.55,53.6,42.3,11.3,0.3
vs Cuiabá,35,27.5,38,3420,90,100,38.0,418,80,232,180,25,264,1.63,42,31,11,0.29,47.8,41.0,6.8,0.18
vs Flamengo,44,27.4,38,3420,90,100,38.0,418,81,235,178,23,261,1.16,39,60,-21,-0.55,35.8,65.4,-29.6,-0.78
vs Fluminense,32,27.3,38,3420,90,100,38.0,418,81,239,177,23,266,0.97,41,63,-22,-0.58,40.3,50.1,-9.7,-0.26
vs Fortaleza,34,26.8,38,3420,90,100,38.0,418,80,236,181,27,260,1.29,39,46,-7,-0.18,42.9,44.5,-1.5,-0.04
vs Goiás,36,27.3,38,3420,90,100,38.0,418,80,237,177,21,270,1.45,53,40,13,0.34,61.6,34.6,27.0,0.71
vs Internacional,37,27.3,38,3420,90,100,38.0,418,81,237,179,21,264,0.74,31,58,-27,-0.71,45.1,55.8,-10.8,-0.28
vs Juventude,45,27.3,38,3420,90,100,38.0,418,79,237,184,21,251,2.08,69,29,40,1.05,57.1,33.4,23.6,0.62
vs Palmeiras,35,27.2,38,3420,90,100,38.0,418,81,248,168,24,269,0.55,27,66,-39,-1.03,33.2,69.3,-36.1,-0.95
vs RB Bragantino,36,27.3,38,3420,90,100,38.0,418,80,237,182,22,259,1.55,59,49,10,0.26,49.5,52.7,-3.1,-0.08
vs Santos,40,27.6,38,3420,90,100,38.0,418,81,233,180,21,260,1.47,41,44,-3,-0.08,48.0,46.2,1.8,0.05
vs São Paulo,39,27.5,38,3420,90,100,38.0,418,79,237,180,23,255,1.18,42,55,-13,-0.34,44.4,49.7,-5.3,-0.14
