Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
Squad,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
vs Ath Paranaense,41,46.2,38.0,20497,2087,6839,9102,4778,644,20491,565,357,63.2,208,36.8,12126,63623,32088,663,461,134,544,313,13228,1384
vs Atl Goianiense,35,53.2,38.0,21789,2133,6759,9818,5418,699,21781,518,304,58.7,214,41.3,12571,66876,35576,646,506,122,537,278,14147,1636
vs Atlético Mineiro,34,39.4,38.0,18893,2762,7581,7885,3643,535,18890,535,315,58.9,220,41.1,10448,54337,26834,508,353,122,536,328,11123,1016
vs Bahia,39,53.2,38.0,23230,2088,6262,11232,5970,729,23224,586,362,61.8,224,38.2,13982,73143,39517,691,595,128,551,330,15704,1680
vs Botafogo (RJ),45,52.2,38.0,22658,2201,6578,10527,5804,835,22644,620,386,62.3,234,37.7,14027,72100,38490,729,574,158,559,273,15204,1665
vs Ceará,34,56.4,38.0,23842,1976,6848,11543,5691,703,23831,665,438,65.9,227,34.1,14922,75573,38691,676,564,136,578,363,16213,1675
vs Corinthians,36,50.1,38.0,22498,2249,6756,10462,5511,730,22493,633,378,59.7,254,40.1,12797,66500,34843,670,512,138,621,290,14447,1596
vs Coritiba,47,53.4,38.0,23412,1818,5828,11547,6270,812,23402,628,378,60.2,250,39.8,14235,73673,39796,763,609,157,510,331,15990,1725
vs Flamengo,38,39.7,38.0,18654,2427,6835,8434,3650,507,18651,635,406,63.9,229,36.1,9958,54775,27086,517,380,113,484,392,11083,976
vs Fluminense,37,51.3,38.0,22480,1901,6152,11171,5401,621,22475,618,378,61.2,240,38.8,13311,70506,35931,656,552,111,568,367,14880,1615
vs Fortaleza,31,50.2,38.0,21051,1839,5998,10424,4864,614,21042,470,296,63.0,174,37.0,12519,66483,35904,674,499,109,474,293,14281,1511
vs Goiás,49,57.6,38.0,24014,1848,6293,11067,6897,925,24008,619,347,56.1,272,43.9,14513,74747,39780,763,601,158,537,324,16195,1933
vs Grêmio,37,47.6,38.0,21917,2173,6690,10709,4759,577,21907,566,336,59.4,230,40.6,12804,68982,35107,592,514,102,557,291,14688,1423
vs Internacional,39,50.6,38.0,21721,2105,6766,10727,4446,548,21715,661,412,62.3,249,37.7,11495,60122,29752,544,388,101,607,325,13829,1510
vs Palmeiras,36,47.9,38.0,20746,2225,6804,9719,4476,598,20741,672,423,62.9,249,37.1,12029,66750,34778,637,481,102,553,323,13393,1323
vs RB Bragantino,35,50.6,38.0,22325,2653,8061,9828,4679,562,22317,759,463,61.0,296,39.0,12554,65713,32851,578,430,110,555,332,14157,1407
vs Santos,40,49.3,38.0,19906,1956,5907,9552,4687,625,19896,578,366,63.3,212,36.7,11926,63998,34134,594,474,108,513,337,12589,1322
vs São Paulo,28,42.8,38.0,19820,2400,6973,8950,4121,513,19815,441,255,57.8,186,42.2,11397,59347,27994,498,435,108,486,270,12445,1095
vs Sport Recife,38,55.0,38.0,23993,1879,6175,11524,6526,827,23988,659,442,67.1,216,32.8,14559,75805,41111,778,576,153,511,305,16245,1938
vs Vasco da Gama,34,53.4,38.0,23221,1981,6510,11138,5819,761,23210,584,353,60.4,231,39.6,14322,71880,37581,669,540,141,520,310,15796,1731
