Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard
Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,PK,PKatt
vs Ath Paranaense,35,38.0,42,540,157,29.1,14.21,4.13,0.07,0.24,,4,5
vs Atl Goianiense,33,38.0,55,512,195,38.1,13.47,5.13,0.1,0.27,,2,4
vs Atlético Mineiro,39,38.0,49,476,157,33.0,12.53,4.13,0.09,0.28,,5,9
vs Avaí,29,38.0,46,635,193,30.4,16.71,5.08,0.06,0.2,,8,11
vs Bahia,33,38.0,47,495,182,36.8,13.03,4.79,0.09,0.24,,4,5
vs Botafogo (RJ),37,38.0,41,525,149,28.4,13.82,3.92,0.07,0.26,,3,8
vs Chapecoense,38,38.0,49,402,146,36.3,10.58,3.84,0.12,0.32,,2,4
vs Corinthians,32,38.0,30,488,141,28.9,12.84,3.71,0.06,0.21,,1,4
vs Coritiba,35,38.0,47,484,182,37.6,12.74,4.79,0.09,0.24,,3,5
vs Cruzeiro,35,38.0,38,434,142,32.7,11.42,3.74,0.07,0.21,,8,8
vs Flamengo,33,38.0,37,408,127,31.1,10.74,3.34,0.08,0.26,,4,5
vs Fluminense,38,38.0,53,549,175,31.9,14.45,4.61,0.1,0.3,,0,1
vs Grêmio,49,38.0,34,456,144,31.6,12.0,3.79,0.07,0.22,,2,2
vs Palmeiras,32,38.0,44,390,152,39.0,10.26,4.0,0.09,0.24,,7,9
vs Ponte Preta,39,38.0,52,478,184,38.5,12.58,4.84,0.1,0.26,,4,5
vs Santos,41,38.0,31,587,173,29.5,15.45,4.55,0.05,0.16,,4,9
vs São Paulo,41,38.0,49,450,164,36.4,11.84,4.32,0.09,0.24,,9,11
vs Sport Recife,35,38.0,58,412,166,40.3,10.84,4.37,0.13,0.32,,5,5
vs Vasco da Gama,39,38.0,47,445,149,33.5,11.71,3.92,0.09,0.26,,8,8
vs Vitória,37,38.0,55,450,187,41.6,11.84,4.92,0.11,0.26,,6,7
