Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
vs Ath Paranaense,41,38.0,34,478,145,30.3,12.58,3.82,0.06,0.21,19.1,26,3,6,47.0,42.5,0.09,-13.0,-11.5
vs Atl Goianiense,35,38.0,44,486,146,30.0,12.79,3.84,0.08,0.26,18.8,21,6,8,54.5,48.3,0.1,-10.5,-10.3
vs Atlético Mineiro,34,38.0,45,370,137,37.0,9.74,3.61,0.12,0.31,18.9,21,2,3,45.7,43.3,0.12,-0.7,-0.3
vs Bahia,39,38.0,59,507,162,32.0,13.34,4.26,0.11,0.33,19.1,27,5,6,57.7,52.8,0.11,1.3,1.2
vs Botafogo (RJ),45,38.0,61,524,169,32.3,13.79,4.45,0.1,0.31,19.1,26,9,14,64.8,54.4,0.11,-3.8,-2.4
vs Ceará,34,38.0,51,480,166,34.6,12.63,4.37,0.09,0.25,20.1,31,10,11,52.6,44.0,0.09,-1.6,-3.0
vs Corinthians,36,38.0,44,509,170,33.4,13.39,4.47,0.08,0.24,19.0,26,4,5,54.4,51.0,0.1,-10.4,-11.0
vs Coritiba,47,38.0,51,565,167,29.6,14.87,4.39,0.08,0.26,19.5,30,7,10,61.4,54.2,0.1,-10.4,-10.2
vs Flamengo,38,38.0,46,404,143,35.4,10.63,3.76,0.11,0.3,20.6,29,3,3,35.2,32.8,0.08,10.8,10.2
vs Fluminense,37,38.0,41,437,127,29.1,11.5,3.34,0.08,0.28,19.8,25,5,5,44.9,41.2,0.1,-3.9,-5.2
vs Fortaleza,31,38.0,43,429,140,32.6,11.29,3.68,0.09,0.28,20.0,30,4,9,47.8,40.6,0.1,-4.8,-1.6
vs Goiás,49,38.0,61,597,197,33.0,15.71,5.18,0.09,0.28,18.5,30,5,6,61.1,56.5,0.1,-0.1,-0.5
vs Grêmio,37,38.0,40,402,125,31.1,10.58,3.29,0.07,0.24,19.9,15,10,10,41.8,34.0,0.09,-1.8,-4.0
vs Internacional,39,38.0,34,393,101,25.7,10.34,2.66,0.08,0.3,20.6,26,4,5,36.2,32.3,0.08,-2.2,-2.3
vs Palmeiras,36,38.0,35,443,136,30.7,11.66,3.58,0.07,0.22,20.1,31,5,5,39.1,35.2,0.08,-4.1,-5.2
vs RB Bragantino,35,38.0,39,402,128,31.8,10.58,3.37,0.08,0.26,20.5,27,6,8,43.3,37.3,0.09,-4.3,-4.3
vs Santos,40,38.0,51,480,152,31.7,12.63,4.0,0.09,0.27,19.7,26,10,10,56.7,48.9,0.11,-5.7,-7.9
vs São Paulo,28,38.0,41,397,138,34.8,10.45,3.63,0.1,0.3,19.3,20,0,5,39.5,35.7,0.09,1.5,5.3
vs Sport Recife,38,38.0,46,601,188,31.3,15.82,4.95,0.07,0.22,19.7,45,5,5,58.0,54.1,0.09,-12.0,-13.1
vs Vasco da Gama,34,38.0,56,545,177,32.5,14.34,4.66,0.09,0.27,19.5,27,8,11,56.4,47.6,0.09,-0.4,0.4
