Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types
Squad,# Pl,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
vs Ath Paranaense,41,38.0,849,22.34,594,85,51,57,47,15,61,1.61,37,7,5,8,3,1
vs Atl Goianiense,35,38.0,857,22.55,608,91,46,54,46,12,66,1.74,43,4,8,7,4,0
vs Atlético Mineiro,34,38.0,636,16.74,472,48,38,32,38,8,77,2.03,56,6,4,8,3,0
vs Bahia,39,38.0,908,23.89,638,96,52,49,62,11,105,2.76,65,12,10,9,8,1
vs Botafogo (RJ),45,38.0,931,24.5,680,77,44,59,53,18,106,2.79,79,2,5,13,6,1
vs Ceará,34,38.0,888,23.37,681,66,48,36,49,8,85,2.24,54,3,9,7,10,2
vs Corinthians,36,38.0,895,23.55,645,82,52,55,45,16,73,1.92,47,5,7,10,4,0
vs Coritiba,47,38.0,999,26.29,741,86,45,63,53,11,86,2.26,61,5,4,12,4,0
vs Flamengo,38,38.0,699,18.39,497,50,55,40,48,9,79,2.08,56,7,4,3,9,0
vs Fluminense,37,38.0,773,20.34,544,63,43,50,53,20,65,1.71,39,2,2,16,4,2
vs Fortaleza,31,38.0,773,20.34,561,64,35,43,60,10,77,2.03,49,5,6,8,9,0
vs Goiás,49,38.0,1048,27.58,760,96,58,67,57,10,101,2.66,73,9,6,8,5,0
vs Grêmio,37,38.0,731,19.24,532,69,37,45,35,13,68,1.79,45,4,5,9,5,0
vs Internacional,39,38.0,690,18.16,489,61,47,41,48,4,58,1.53,39,4,6,2,7,0
vs Palmeiras,36,38.0,787,20.71,534,74,47,50,67,15,61,1.61,43,2,4,7,4,1
vs RB Bragantino,35,38.0,706,18.58,515,61,50,22,48,10,71,1.87,52,6,4,4,5,0
vs Santos,40,38.0,830,21.84,579,75,46,58,62,10,88,2.32,53,6,6,13,8,2
vs São Paulo,28,38.0,693,18.24,512,58,31,36,45,11,70,1.84,50,7,1,5,4,3
vs Sport Recife,38,38.0,1071,28.18,775,87,75,50,67,17,76,2.0,51,6,7,6,5,1
vs Vasco da Gama,34,38.0,973,25.61,685,88,54,52,75,19,90,2.37,58,5,4,7,14,2
