Unnamed: 0_level_0,Unnamed: 1_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks
Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
vs América (MG),3,38,38,3420,38.0,30,0.79,122,96,77.9,18,10,10,19,50.0,4,3,1,0,25.0
vs Ath Paranaense,2,38,38,3420,38.0,52,1.37,175,125,71.4,13,9,16,12,31.6,2,2,0,0,0.0
vs Atlético Mineiro,1,38,38,3420,38.0,56,1.47,164,112,68.3,13,8,17,10,26.3,5,4,0,1,0.0
vs Bahia,3,38,38,3420,38.0,39,1.03,159,124,77.4,14,12,12,15,39.5,4,3,1,0,25.0
vs Botafogo (RJ),4,38,38,3420,38.0,38,1.0,149,114,76.5,13,12,13,14,36.8,4,3,1,0,25.0
vs Ceará,2,38,38,3420,38.0,32,0.84,142,113,78.9,14,14,10,16,42.1,4,2,1,1,33.3
vs Chapecoense,1,38,38,3420,38.0,32,0.84,104,76,73.1,16,11,11,14,36.8,4,4,0,0,0.0
vs Corinthians,2,38,38,3420,38.0,34,0.89,120,87,72.5,16,11,11,16,42.1,1,1,0,0,0.0
vs Cruzeiro,2,38,38,3420,38.0,34,0.89,133,105,78.2,13,11,14,17,44.7,7,5,1,1,16.7
vs Flamengo,3,38,38,3419,38.0,59,1.55,195,139,71.3,8,9,21,5,13.2,3,3,0,0,0.0
vs Fluminense,2,38,38,3420,38.0,32,0.84,143,111,77.6,17,9,12,16,42.1,0,0,0,0,
vs Grêmio,3,38,38,3420,38.0,48,1.26,160,122,74.4,8,12,18,12,31.6,11,7,3,1,30.0
vs Internacional,3,38,38,3420,38.0,50,1.32,151,108,70.9,7,12,19,9,23.7,8,6,1,1,14.3
vs Palmeiras,3,38,38,3420,38.0,64,1.68,169,113,65.1,4,11,23,6,15.8,8,5,3,0,37.5
vs Paraná,4,38,38,3420,38.0,18,0.47,110,93,84.5,23,11,4,21,55.3,1,1,0,0,0.0
vs Santos,2,38,38,3420,38.0,46,1.21,146,104,70.5,14,11,13,11,28.9,4,3,1,0,25.0
vs São Paulo,2,38,38,3420,38.0,46,1.21,137,95,68.6,7,15,16,9,23.7,4,3,1,0,25.0
vs Sport Recife,3,38,38,3420,38.0,35,0.92,143,111,76.9,18,9,11,17,44.7,3,2,1,0,33.3
vs Vasco da Gama,2,38,38,3417,38.0,41,1.08,146,117,78.8,15,13,10,9,23.7,12,10,2,0,16.7
vs Vitória,4,38,38,3419,38.0,35,0.92,125,95,76.0,19,10,9,13,34.2,5,5,0,0,0.0
