Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
vs América (MG),46,38.0,76,5,0,482,530,69,895,337,371,6,6,0,2100,526,594,47.0
vs Ath Paranaense,40,38.0,102,4,2,523,560,63,703,305,353,5,4,0,1804,607,575,51.4
vs Atlético Mineiro,31,38.0,106,7,3,504,568,55,706,382,381,1,6,1,1971,563,488,53.6
vs Bahia,35,38.0,94,5,1,536,525,129,614,360,374,5,4,2,1985,494,540,47.8
vs Botafogo (RJ),36,38.0,101,2,0,521,492,91,739,344,412,1,7,2,1962,554,553,50.0
vs Corinthians,36,38.0,98,6,4,538,458,37,880,351,352,6,7,2,1934,472,528,47.2
vs Coritiba,47,38.0,97,4,2,559,559,48,867,329,408,8,9,1,1974,609,570,51.7
vs Cruzeiro,38,38.0,118,4,1,497,548,113,658,335,359,3,4,3,1872,568,531,51.7
vs Cuiabá,30,38.0,109,7,3,583,444,64,755,298,324,4,8,1,1866,494,613,44.6
vs Flamengo,32,38.0,103,8,4,531,474,76,663,354,428,6,9,1,1917,405,457,47.0
vs Fluminense,37,38.0,100,4,0,585,485,60,689,344,429,6,5,0,1774,452,427,51.4
vs Fortaleza,32,38.0,100,5,1,553,488,51,674,311,360,5,7,1,1833,532,568,48.4
vs Goiás,42,38.0,111,6,1,606,602,51,889,340,396,5,5,1,1858,640,637,50.1
vs Grêmio,44,38.0,112,7,5,575,460,48,805,434,418,2,7,2,2084,537,501,51.7
vs Internacional,35,38.0,99,8,6,526,485,61,778,321,344,6,4,1,1894,562,449,55.6
vs Palmeiras,33,38.0,122,11,7,610,556,48,560,299,347,2,4,2,1737,491,491,50.0
vs RB Bragantino,35,38.0,95,0,0,498,579,99,545,377,465,4,3,1,2040,646,602,51.8
vs Santos,46,38.0,110,6,2,575,548,61,724,307,406,5,6,2,1797,522,585,47.2
vs São Paulo,38,38.0,114,4,1,549,495,54,626,361,413,8,9,0,1854,490,487,50.2
vs Vasco da Gama,38,38.0,89,6,0,545,529,49,746,309,415,2,4,0,1870,578,544,51.5
