Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes
Squad,# Pl,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
vs Ath Paranaense,36,38.0,14928,12785,2075,658,25,129,653,783,160,68,77,0,11337,68,243
vs Atlético Mineiro,32,38.0,18035,16045,1950,532,21,118,801,733,236,92,102,1,14438,40,334
vs Avaí,42,38.0,19157,17084,2031,577,27,106,717,840,241,91,124,2,15303,42,309
vs Bahia,31,38.0,18764,16753,1943,569,32,140,743,787,205,91,83,0,15073,68,272
vs Botafogo (RJ),33,38.0,17824,15966,1780,475,23,118,848,692,262,113,107,2,14367,78,285
vs Ceará,33,38.0,19027,17068,1904,559,22,174,706,780,191,78,83,1,15336,55,296
vs Chapecoense,36,38.0,18537,16494,1977,559,40,113,775,821,223,83,107,1,14934,66,269
vs Corinthians,33,38.0,17399,15548,1781,499,28,136,681,710,188,68,84,1,13754,70,293
vs Cruzeiro,35,38.0,17440,15628,1780,552,12,175,705,664,189,88,80,0,13961,32,281
vs CSA,40,38.0,21365,19444,1871,584,27,114,838,709,261,106,118,0,17968,50,250
vs Flamengo,37,38.0,14346,12341,1931,591,24,163,476,731,127,48,59,1,10987,74,248
vs Fluminense,39,38.0,16197,14414,1740,544,26,89,551,635,156,66,60,2,12987,43,256
vs Fortaleza,32,38.0,18926,17082,1786,503,21,119,848,709,237,97,115,0,15659,58,239
vs Goiás,39,38.0,19275,17203,2017,574,35,140,829,765,255,109,115,2,15673,55,320
vs Grêmio,40,38.0,16544,14845,1686,486,16,82,602,646,178,65,102,3,13258,13,246
vs Internacional,38,38.0,17606,15697,1876,570,18,135,619,728,167,80,65,2,13923,33,316
vs Palmeiras,35,38.0,17187,15270,1892,647,14,113,598,671,134,46,75,0,13859,25,238
vs Santos,30,38.0,14752,12686,2015,613,21,105,613,741,180,52,94,1,11113,51,254
vs São Paulo,36,38.0,16927,14920,1962,651,13,98,620,743,171,68,85,2,13406,45,274
vs Vasco da Gama,39,38.0,18995,17026,1914,631,22,107,713,704,206,93,95,4,15452,55,332
