Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
vs Ath Paranaense,41,26.2,49.0,38,418,3420,38.0,48,35,83,46,2,5,87,9,1.26,0.92,2.18,1.21,2.13
vs Atlético Mineiro,28,26.6,44.0,38,418,3420,38.0,46,35,81,42,4,6,82,4,1.21,0.92,2.13,1.11,2.03
vs Avaí,36,26.2,54.7,38,418,3420,38.0,58,41,99,55,3,4,91,5,1.53,1.08,2.61,1.45,2.53
vs Chapecoense,33,26.4,50.0,38,418,3420,38.0,41,30,71,38,3,5,103,7,1.08,0.79,1.87,1.0,1.79
vs Corinthians,32,26.4,47.9,38,418,3420,38.0,31,24,55,31,0,1,100,6,0.82,0.63,1.45,0.82,1.45
vs Coritiba,44,26.2,50.1,38,421,3420,38.0,40,31,71,37,3,3,105,5,1.05,0.82,1.87,0.97,1.79
vs Cruzeiro,37,26.1,47.3,38,418,3420,38.0,35,24,59,34,1,1,93,4,0.92,0.63,1.55,0.89,1.53
vs Figueirense,38,26.5,54.8,38,418,3420,38.0,49,31,80,41,8,8,99,3,1.29,0.82,2.11,1.08,1.89
vs Flamengo,36,26.4,46.5,38,418,3420,38.0,49,32,81,43,6,6,98,5,1.29,0.84,2.13,1.13,1.97
vs Fluminense,39,26.6,51.7,38,421,3420,38.0,48,33,81,44,4,5,109,5,1.26,0.87,2.13,1.16,2.03
vs Goiás,35,26.6,56.4,38,418,3420,38.0,49,33,82,47,2,3,97,8,1.29,0.87,2.16,1.24,2.11
vs Grêmio,34,26.3,47.5,38,418,3420,38.0,31,20,51,27,4,4,109,7,0.82,0.53,1.34,0.71,1.24
vs Internacional,38,26.4,50.2,38,419,3420,38.0,36,20,56,29,7,8,100,7,0.95,0.53,1.47,0.76,1.29
vs Joinville,46,26.5,54.3,38,418,3420,38.0,47,33,80,43,4,6,80,2,1.24,0.87,2.11,1.13,2.0
vs Palmeiras,39,26.5,48.4,38,418,3420,38.0,49,36,85,45,4,6,115,5,1.29,0.95,2.24,1.18,2.13
vs Ponte Preta,37,26.4,51.1,38,418,3420,38.0,40,30,70,38,2,3,95,3,1.05,0.79,1.84,1.0,1.79
vs Santos,36,26.5,50.2,38,418,3420,38.0,40,26,66,35,5,5,109,7,1.05,0.68,1.74,0.92,1.61
vs São Paulo,35,26.6,45.3,38,418,3420,38.0,47,34,81,45,2,3,79,3,1.24,0.89,2.13,1.18,2.08
vs Sport Recife,28,26.1,50.7,38,418,3420,38.0,34,24,58,31,3,3,94,7,0.89,0.63,1.53,0.82,1.45
vs Vasco da Gama,41,26.2,49.4,38,418,3420,38.0,53,36,89,48,5,7,99,7,1.39,0.95,2.34,1.26,2.21
